,Unnamed: 0.1,SchoolCode,CohortStudents,Dropout (Count),Dropout Rate,Unnamed: 0,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,FundPerStudent,Educational Option Type,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),Low Grade,High Grade,Enrollment (Ages 5-17),TotalFTE,ClearFTE,OtherFTE,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative,CountyMedianIncome,MedianIncome,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
0,0,1933316,648.0,172.0,0.2654320987654321,1933316,Puente Hills High,73445,Hacienda la Puente Unified,19,Los Angeles,52531.92433599554,Alternative School of Choice,298,192,0.6442953020134228,P,12,255,12.2,6.49,1.71,144.0,*,*,*,122,*,35925,"88,130",75,319,40.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,278,1934801,3876.0,40.0,0.0103199174406604,1934801,La Puente High,73445,Hacienda la Puente Unified,19,Los Angeles,52531.92433599554,Traditional,1002,720,0.718562874251497,9,12,989,46.5,43.14,2.05,1094.0,*,*,19,1048,*,35925,"88,130",206,5825,161.0,4759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,383,1935246,6380.0,208.0,0.0326018808777429,1935246,Los Altos High,73445,Hacienda la Puente Unified,19,Los Angeles,52531.92433599554,Traditional,1653,828,0.5009074410163339,9,12,1621,70.6,63.4,1.09,1786.0,75,15,118,1528,*,35925,"88,130",339,9435,288.0,7898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1205,1938935,2168.0,336.0,0.1549815498154981,1938935,Valley Alternative High (Continuation),73445,Hacienda la Puente Unified,19,Los Angeles,52531.92433599554,Continuation School,87,63,0.7241379310344828,9,12,61,8.51,5.33,2.85,205.0,*,*,*,197,*,35925,"88,130",105,702,67.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1406,1939834,4944.0,124.0,0.0250809061488673,1939834,Glen A. Wilson High,73445,Hacienda la Puente Unified,19,Los Angeles,52531.92433599554,Traditional,1458,638,0.4375857338820302,9,12,1443,59.44,54.35,2.46,1478.0,78,13,568,765,*,35925,"88,130",283,7953,226.0,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1438,1939925,3304.0,32.0,0.009685230024213,1939925,William Workman High,73445,Hacienda la Puente Unified,19,Los Angeles,52531.92433599554,Traditional,962,623,0.6476091476091476,9,12,944,45.01,41.49,1.17,964.0,17,17,32,852,*,35925,"88,130",151,3936,95.0,2698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,1335306,2340.0,64.0,0.0273504273504273,1335306,Holtville High,63149,Holtville Unified,13,Imperial,25880.469921568627,Traditional,522,353,0.6762452107279694,9,12,510,28.7,20.42,4.31,551.0,61,*,*,482,*,25451,"56,182",173,3324,100.0,2161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,362,1337138,144.0,12.0,0.0833333333333333,1337138,Sam Webb Continuation,63149,Holtville Unified,13,Imperial,25880.469921568627,Continuation School,18,17,0.9444444444444444,9,12,16,0.6,0.02,0.58,24.0,*,*,*,22,*,25451,"56,182",48,68,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,1933324,6704.0,368.0,0.0548926014319809,1933324,Garey High,64907,Pomona Unified,19,Los Angeles,41930.955502360965,Traditional,1691,1417,0.8379657007687759,9,12,1579,76.92,58.79,10.64,1857.0,28,31,30,1753,*,35925,"72,287",349,9616,240.0,7014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,670,1936772,2768.0,380.0,0.1372832369942196,1936772,Park West High (Continuation),64907,Pomona Unified,19,Los Angeles,41930.955502360965,Continuation School,221,209,0.9457013574660632,9,12,186,13.35,6.82,6.47,286.0,*,19,*,258,*,35925,"72,287",88,1462,47.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,731,1937028,4256.0,368.0,0.0864661654135338,1937028,Pomona High,64907,Pomona Unified,19,Los Angeles,41930.955502360965,Traditional,1113,919,0.825696316262354,9,12,1082,57.33,44.08,8.43,1193.0,16,91,21,1041,*,35925,"72,287",216,4948,138.0,3698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1120,1995901,6248.0,32.0,0.0051216389244558,1995901,Diamond Ranch High,64907,Pomona Unified,19,Los Angeles,41930.955502360965,Traditional,1528,878,0.574607329842932,9,12,1505,69.61,55.44,10.84,1597.0,76,100,108,1193,*,35925,"72,287",289,7403,209.0,5727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1243,1996495,1212.0,16.0,0.0132013201320132,1996495,Village Academy High School at Indian Hill,64907,Pomona Unified,19,Los Angeles,41930.955502360965,Alternative School of Choice,289,243,0.8408304498269896,9,12,285,17.83,14.86,1.74,304.0,*,*,21,271,*,35925,"72,287",71,1677,52.0,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1730,1933175,3320.0,112.0,0.0337349397590361,1933175,Ganesha High,64907,Pomona Unified,19,Los Angeles,41930.955502360965,Traditional,912,747,0.819078947368421,9,12,888,45.83,37.3,4.92,963.0,16,34,*,896,*,35925,"72,287",202,4425,125.0,2988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4,1237007,608.0,80.0,0.131578947368421,1237007,South Fork Junior - Senior High,63040,Southern Humboldt Joint Unified,12,Humboldt,52021.16306581059,Traditional,234,130,0.5555555555555556,9,12,226,13.2,6.56,4.37,245.0,183,*,*,37,*,33244,"40,889",71,599,31.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,6,1933332,1328.0,36.0,0.0271084337349397,1933332,Monterey High (Continuation),64337,Burbank Unified,19,Los Angeles,20340.022598655956,Continuation School,123,44,0.3577235772357723,9,12,109,9.0,7.75,1.25,166.0,57,*,*,90,*,35925,"82,246",158,747,71.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1295,1931187,9136.0,136.0,0.0148861646234676,1931187,Burbank High,64337,Burbank Unified,19,Los Angeles,20340.022598655956,Traditional,2459,761,0.3094753965026433,9,12,2431,97.22,80.07,4.28,2538.0,1522,68,147,616,*,35925,"82,246",573,15679,420.0,12526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1306,1931237,8484.0,236.0,0.0278170674210278,1931237,Burroughs High,64337,Burbank Unified,19,Los Angeles,20340.022598655956,Traditional,2338,585,0.2502138579982891,9,12,2312,100.31,77.06,10.32,2495.0,869,86,119,1161,*,35925,"82,246",564,15414,398.0,12354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,7,4530200,2184.0,452.0,0.2069597069597069,4530200,Pioneer Continuation High,70136,Shasta Union High,45,Shasta,10436.09496768611,Continuation School,186,116,0.6236559139784946,9,12,173,11.59,7.59,4.01,287.0,176,*,*,47,14,37065,"65,003",103,729,14.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,21,4530267,1252.0,44.0,0.0351437699680511,4530267,Shasta Charter Academy,70136,Shasta Union High,45,Shasta,11222.513194888179,Traditional,233,76,0.3261802575107296,9,12,225,14.78,4.31,10.27,300.0,221,*,*,27,*,37065,"65,003",288,1361,109.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,26,4530309,1944.0,68.0,0.0349794238683127,4530309,North State Independence High,70136,Shasta Union High,45,Shasta,10436.09496768611,Alternative School of Choice,208,76,0.3653846153846153,9,12,194,13.9,5.51,8.3,557.0,386,*,27,79,18,37065,"65,003",119,636,75.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,518,4532750,3588.0,184.0,0.0512820512820512,4532750,Enterprise High,70136,Shasta Union High,45,Shasta,10436.09496768611,Traditional,1137,610,0.5364995602462621,9,12,1104,55.72,50.31,2.01,1193.0,615,30,112,260,43,37065,"65,003",317,6481,200.0,4732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1551,4537304,3936.0,80.0,0.0203252032520325,4537304,Shasta High,70136,Shasta Union High,45,Shasta,10436.09496768611,Traditional,1345,430,0.3197026022304832,9,12,1315,63.81,56.54,4.13,1447.0,1007,15,48,215,54,37065,"65,003",394,8751,243.0,6379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1732,4530044,4020.0,68.0,0.0169154228855721,4530044,Foothill High,70136,Shasta Union High,45,Shasta,10436.09496768611,Traditional,1382,391,0.2829232995658466,9,12,1350,55.71,47.74,3.63,1418.0,1087,*,26,166,37,37065,"65,003",297,7757,208.0,5578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,532507,1768.0,0.0,0.0,532507,Bret Harte Union High,61556,Bret Harte Union High,5,Calaveras,13996.792553579571,Traditional,600,193,0.3216666666666666,9,12,587,33.56,28.24,4.28,608.0,414,*,*,131,*,41045,"71,635",416,4718,134.0,2483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1227,530014,400.0,60.0,0.15,530014,Vallecito Continuation High,61556,Bret Harte Union High,5,Calaveras,13996.792553579571,Continuation School,42,19,0.4523809523809524,9,12,37,1.87,0.46,1.41,66.0,42,*,*,16,*,41045,"71,635",48,160,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,9,114736,9652.0,16.0,0.0016576875259013,114736,Hector G. Godinez,66670,Santa Ana Unified,30,Orange,30003.36507787136,Traditional,2206,1325,0.600634632819583,9,12,2155,89.68,77.44,4.54,2418.0,15,*,33,2363,*,43800,"78,655",504,14432,444.0,12713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,14,106567,1576.0,40.0,0.0253807106598984,106567,Nova Academy Early College High,66670,Santa Ana Unified,30,Orange,30003.36507787136,Traditional,324,246,0.7592592592592593,9,12,314,16.99,14.66,1.54,380.0,*,*,*,359,*,43800,"78,655",126,2839,66.0,1593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,371,108365,8520.0,0.0,0.0,108365,Segerstrom High,66670,Santa Ana Unified,30,Orange,30003.36507787136,Traditional,2523,1097,0.434799841458581,9,12,2468,91.47,81.25,6.72,2532.0,33,*,153,2288,*,43800,"78,655",570,15553,390.0,11648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,778,3034998,4704.0,1256.0,0.2670068027210884,3034998,Lorin Griset Academy,66670,Santa Ana Unified,30,Orange,30003.36507787136,Continuation School,278,189,0.6798561151079137,9,12,187,16.52,15.38,1.02,470.0,*,*,*,466,*,43800,"78,655",128,1815,113.0,1691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1143,3036357,12828.0,684.0,0.0533208606173994,3036357,Santa Ana High,66670,Santa Ana Unified,30,Orange,30003.36507787136,Traditional,3314,2111,0.6369945684972842,9,12,3185,136.2,112.45,5.64,3381.0,*,*,*,3334,*,43800,"78,655",625,17221,518.0,14616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1161,3036456,7968.0,268.0,0.0336345381526104,3036456,Valley High,66670,Santa Ana Unified,30,Orange,30003.36507787136,Traditional,2251,1503,0.6677032430031097,9,12,2152,99.14,69.0,7.31,2315.0,*,*,44,2243,*,43800,"78,655",461,13352,368.0,11098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
