,Dcode,avg_dropout_rate,total_fund,CO Code,District,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
0,61119,8.89222972972973,752395393.93,1,ALAMEDA UNIFIED SCH DIST,"117,225,882.50","8,968.85","13,070.34",Unified,152604,5885,956,2125,234,0,49,230,770,1726,0,0,0,29,74928,52948,61,956,669,0,0,0,83,0,0,16747,0,0,3464,0,71791,0,46243,0,0,0,12467,0,4707,0,0,1000,0,0,0,0,857,0,1848,0
1,61127,2.297727272727273,482140423.13,1,ALBANY CITY UNIFIED SCH DIST,"46,611,059.59","3,544.52","13,150.18",Unified,78758,6281,194,5484,89,0,0,66,154,383,0,0,0,0,42105,20376,23,13956,261,0,0,0,23,0,0,6108,0,0,1358,0,30372,0,18475,0,0,0,6046,279,0,0,0,748,0,0,0,802,209,0,1300,0
2,61143,12.977777777777778,1264752606.39,1,BERKELEY UNIFIED SCH DIST,"159,457,818.49","9,356.44","17,042.57",Unified,212767,7691,946,2020,311,48,46,95,2514,2070,0,0,0,0,79302,46983,0,0,686,0,0,0,134,0,0,26870,0,0,4629,0,125774,0,69643,0,0,0,37492,3345,580,189,333,531,0,0,0,0,378,0,2513,0
3,61150,5.779268292682927,802268053.81,1,CASTRO VAL UNIFIED SCH DIST,"102,239,937.34","8,940.20","11,435.98",Unified,165687,21190,908,18767,137,0,37,99,188,1191,0,0,0,0,98977,53037,47,22580,656,0,0,0,86,0,0,19421,0,0,3150,0,45520,0,35889,0,0,0,0,1034,586,515,134,1537,0,0,0,0,528,0,1351,0
4,61168,0.0,81321663.71,1,EMERY UNI SCH DIST,"12,504,023.21",681.82,"18,339.19",Unified,19385,1362,91,144,15,0,0,15,807,305,0,0,0,0,3555,1876,3,0,49,0,0,0,21,0,0,1304,0,0,302,0,14468,0,5066,0,0,0,2672,459,4792,0,0,0,0,0,0,0,309,0,159,0
5,61176,13.08025641025641,2566323920.15,1,FREMONT UNIF SCHOOL DIST,"382,169,476.39","33,966.73","11,251.29",Unified,483035,17362,2365,10690,630,0,152,859,693,2571,0,0,32,0,254039,171876,178,25199,2535,0,0,0,179,3595,0,36991,0,0,13486,0,211634,0,177730,0,0,0,4357,4069,2,222,244,3224,0,0,0,46,3028,0,6105,0
6,61192,9.873190348525469,2229224658.94,1,HAYWARD UNIFIED SCHOOL DISTRICT,"266,964,086.73","18,755.20","14,234.14",Unified,330918,27570,5256,4615,480,0,178,515,9413,7593,0,0,0,0,190304,140078,116,176,1315,0,0,0,476,0,0,39254,0,0,8889,0,113044,0,83815,0,0,0,4651,5341,7516,51,46,458,0,0,0,0,1128,0,3849,0
7,61200,3.9031531531531534,718228044.3,1,LIVERMORE VALLEY JT UNIFIED SCH DIST,"158,623,654.06","13,142.04","12,069.94",Unified,185774,6611,1174,3126,351,0,63,291,311,1548,0,0,98,0,82676,58842,75,0,1008,0,0,13,97,0,0,17888,0,0,4753,0,96487,0,74754,0,0,0,3985,7047,1410,13,0,1714,0,0,0,196,604,0,1390,0
8,61234,12.405063291139241,411470416.15,1,NEWARK UNIF SCH DIST,"66,780,274.76","5,552.86","12,026.28",Unified,89064,3711,589,1125,134,0,36,138,41,1782,0,0,0,0,39730,28246,35,16,424,0,0,0,123,0,0,8864,0,0,2022,0,45623,0,34725,0,0,0,0,2811,1004,39,0,576,0,0,0,0,246,0,895,0
9,61242,6.3076923076923075,750790547.22,1,NEW HAVEN UNIFIED SCHOOL DIST,"124,186,922.85","10,017.51","12,396.99",Unified,164428,7094,988,2136,239,0,62,233,1265,2410,0,0,0,0,88351,68967,57,32,805,0,0,0,163,0,0,14212,0,0,4115,0,68983,0,52397,0,0,0,0,5391,3395,16,0,828,0,0,0,0,1044,0,1897,0
