SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative
1933316,Puente Hills High,73445,Hacienda la Puente Unified,19,Los Angeles,144,*,*,*,122,*
114694,High Tech High North County,76471,SBC - High Tech High,37,San Diego,425,156,*,*,213,*
1335306,Holtville High,63149,Holtville Unified,13,Imperial,551,61,*,*,482,*
1933324,Garey High,64907,Pomona Unified,19,Los Angeles,1857,28,31,30,1753,*
1237007,South Fork Junior - Senior High,63040,Southern Humboldt Joint Unified,12,Humboldt,245,183,*,*,37,*
4530192,Anderson Community Day,69856,Anderson Union High,45,Shasta,32,20,*,*,*,*
1933332,Monterey High (Continuation),64337,Burbank Unified,19,Los Angeles,166,57,*,*,90,*
4530200,Pioneer Continuation High,70136,Shasta Union High,45,Shasta,287,176,*,*,47,14
532507,Bret Harte Union High,61556,Bret Harte Union High,5,Calaveras,608,414,*,*,131,*
114736,Hector G. Godinez,66670,Santa Ana Unified,30,Orange,2418,15,*,33,2363,*
4530226,Soldier Mountain High (Continuation),69989,Fall River Joint Unified,45,Shasta,28,17,*,*,*,*
131128,Da Vinci Communications,76869,Wiseburn Unified,19,Los Angeles,618,68,139,19,342,*
1933373,Olympic High (Continuation),64980,Santa Monica-Malibu Unified,19,Los Angeles,62,23,*,*,28,*
1933381,James A. Garfield Senior High,64733,Los Angeles Unified,19,Los Angeles,2514,*,14,*,2479,*
106567,Nova Academy Early College High,66670,Santa Ana Unified,30,Orange,380,*,*,*,359,*
4333639,James Lick High,69427,East Side Union High,43,Santa Clara,988,33,12,69,818,*
5636170,Renaissance High,76828,Santa Paula Unified,56,Ventura,146,*,*,*,144,*
139345,We the People High,10199,Los Angeles County Office of Education,19,Los Angeles,25,*,*,*,14,*
1933399,L.A. County High School for the Arts,10199,Los Angeles County Office of Education,19,Los Angeles,562,178,41,54,165,*
3334232,Norco High,67033,Corona-Norco Unified,33,Riverside,2251,873,56,61,1171,*
114777,Pathway Independent Study,64774,Lynwood Unified,19,Los Angeles,219,*,18,*,196,*
4530267,Shasta Charter Academy,70136,Shasta Union High,45,Shasta,300,221,*,*,27,*
5636188,Simi Valley High,72603,Simi Valley Unified,56,Ventura,2098,1063,32,182,691,*
131177,Berkeley High,61143,Berkeley Unified,1,Alameda,3279,1381,409,278,702,11
5030010,Fred C. Beyer High,71175,Modesto City High,50,Stanislaus,1710,610,62,68,762,*
3432572,Elk Grove High,67314,Elk Grove Unified,34,Sacramento,1914,716,141,205,548,*
4530309,North State Independence High,70136,Shasta Union High,45,Shasta,557,386,*,27,79,18
1933449,Gladstone High,64279,Azusa Unified,19,Los Angeles,1019,20,12,11,956,*
3932308,Escalon High,68502,Escalon Unified,39,San Joaquin,849,363,*,13,439,*
5030036,West Side Valley High (Continuation),73601,Newman-Crows Landing Unified,50,Stanislaus,40,12,*,*,27,*
3334299,Norte Vista High,66977,Alvord Unified,33,Riverside,2232,71,32,42,2054,*
4530333,Anderson New Technology High,69856,Anderson Union High,45,Shasta,145,100,*,*,25,*
2130078,Tamiscal High (Alternative),65482,Tamalpais Union High,21,Marin,124,85,*,*,20,*
1933472,Daily (Allan F.) High (Continuation),64568,Glendale Unified,19,Los Angeles,264,121,*,*,123,*
114850,West Adams Preparatory High,64733,Los Angeles Unified,19,Los Angeles,1193,18,69,*,1093,*
131243,Phoenix Rising High,63115,Central Union High,13,Imperial,35,*,*,*,31,*
114868,Oakland Charter High,61259,Oakland Unified,1,Alameda,466,*,31,149,268,*
139451,Pathways Academy Charter - Adult Education,75416,Warner Unified,37,San Diego,101,20,*,*,67,*
5030085,Stanislaus Military Academy at Teel,10504,Stanislaus County Office of Education,50,Stanislaus,176,55,*,*,97,*
3735750,Point Loma High,68338,San Diego Unified,37,San Diego,1802,908,47,35,653,*
1933530,Glendale High,64568,Glendale Unified,19,Los Angeles,2130,1136,24,49,714,*
106716,Hamilton High,67082,Hemet Unified,33,Riverside,277,131,*,*,109,13
3834082,Mission High,68478,San Francisco Unified,38,San Francisco,1087,117,165,86,610,*
4333795,Abraham Lincoln High,69666,San Jose Unified,43,Santa Clara,1759,230,48,77,1304,*
106732,High Tech High International,68338,San Diego Unified,37,San Diego,406,117,23,17,192,*
5030127,Del Puerto High,71217,Patterson Joint Unified,50,Stanislaus,139,18,*,*,111,*
5030135,Peter Johansen High,71175,Modesto City High,50,Stanislaus,1928,316,55,38,1376,*
123133,Alliance Susan and Eric Smidt Technology High,64733,Los Angeles Unified,19,Los Angeles,451,*,*,*,434,*
123141,Alliance Ted K. Tajima High,64733,Los Angeles Unified,19,Los Angeles,450,*,*,*,433,*
3334406,John W. North High,67215,Riverside Unified,33,Riverside,2403,214,250,78,1723,14
1933597,Glendora High,64576,Glendora Unified,19,Los Angeles,2399,938,27,199,1060,*
3735842,Abraxas Continuation High,68296,Poway Unified,37,San Diego,331,132,18,24,104,*
4030755,Atascadero High,68700,Atascadero Unified,40,San Luis Obispo,1267,783,13,16,377,*
1737006,Upper Lake High,76976,Upper Lake Unified,17,Lake,338,174,*,*,107,32
5431598,Exeter Union High,76836,Exeter Unified,54,Tulare,981,394,*,*,567,*
2335024,Ukiah High,65615,Ukiah Unified,23,Mendocino,1709,615,*,21,901,99
5030200,Argus High (Continuation),71043,Ceres Unified,50,Stanislaus,399,51,*,*,321,*
1032507,Fresno High,62166,Fresno Unified,10,Fresno,2367,236,219,102,1727,19
3735867,Poway High,68296,Poway Unified,37,San Diego,2285,1124,27,106,719,*
5431614,Kaweah High,76836,Exeter Unified,54,Tulare,64,23,*,*,39,*
4137279,South San Francisco High,69070,South San Francisco Unified,41,San Mateo,1341,63,22,141,781,*
106831,Animo Venice Charter High,64733,Los Angeles Unified,19,Los Angeles,532,16,28,*,480,*
1933647,John H. Glenn High,64840,Norwalk-La Mirada Unified,19,Los Angeles,1260,23,27,27,1127,*
3637584,Upland High,75069,Upland Unified,36,San Bernardino,3293,721,279,178,1941,*
737619,Willow High,61697,John Swett Unified,7,Contra Costa,42,*,16,*,11,*
5030234,Valley Charter High,10504,Stanislaus County Office of Education,50,Stanislaus,137,51,*,*,61,*
106849,Animo Pat Brown,64733,Los Angeles Unified,19,Los Angeles,636,*,*,*,626,*
5030259,Waterford High,75572,Waterford Unified,50,Stanislaus,672,224,*,*,420,*
2630010,Mammoth High,73692,Mammoth Unified,26,Mono,381,163,*,*,206,*
4333951,Live Oak High,69583,Morgan Hill Unified,43,Santa Clara,1184,333,18,54,722,*
1532290,East Bakersfield High,63529,Kern High,15,Kern,2497,150,127,*,2171,13
5030283,John H. Pitman High,75739,Turlock Unified,50,Stanislaus,2199,684,45,182,1201,12
2630036,Sierra High (Continuation),73692,Mammoth Unified,26,Mono,15,*,*,*,12,*
