SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,TotalFTE,ClearFTE,OtherFTE
1933316,Puente Hills High,73445,Hacienda la Puente Unified,19,Los Angeles,12.2,6.49,1.71
114694,High Tech High North County,76471,SBC - High Tech High,37,San Diego,21,17.5,3
1335306,Holtville High,63149,Holtville Unified,13,Imperial,28.7,20.42,4.31
1933324,Garey High,64907,Pomona Unified,19,Los Angeles,76.92,58.79,10.64
1237007,South Fork Junior - Senior High,63040,Southern Humboldt Joint Unified,12,Humboldt,13.2,6.56,4.37
4530192,Anderson Community Day,69856,Anderson Union High,45,Shasta,1.4,0.2,0.96
1933332,Monterey High (Continuation),64337,Burbank Unified,19,Los Angeles,9,7.75,1.25
4530200,Pioneer Continuation High,70136,Shasta Union High,45,Shasta,11.59,7.59,4.01
532507,Bret Harte Union High,61556,Bret Harte Union High,5,Calaveras,33.56,28.24,4.28
114736,Hector G. Godinez,66670,Santa Ana Unified,30,Orange,89.68,77.44,4.54
4530226,Soldier Mountain High (Continuation),69989,Fall River Joint Unified,45,Shasta,1,0.45,0.55
131128,Da Vinci Communications,76869,Wiseburn Unified,19,Los Angeles,23.24,21.37,1.88
1933373,Olympic High (Continuation),64980,Santa Monica-Malibu Unified,19,Los Angeles,3.99,2.32,1.69
1933381,James A. Garfield Senior High,64733,Los Angeles Unified,19,Los Angeles,110.84,81.22,23.98
106567,Nova Academy Early College High,66670,Santa Ana Unified,30,Orange,16.99,14.66,1.54
4333639,James Lick High,69427,East Side Union High,43,Santa Clara,45.43,41.85,0.25
5636170,Renaissance High,76828,Santa Paula Unified,56,Ventura,5.75,4.16,0.84
139345,We the People High,10199,Los Angeles County Office of Education,19,Los Angeles,1.42,0.88,0.55
1933399,L.A. County High School for the Arts,10199,Los Angeles County Office of Education,19,Los Angeles,88.46,21.27,63.33
3334232,Norco High,67033,Corona-Norco Unified,33,Riverside,93.76,85.48,3.81
114777,Pathway Independent Study,64774,Lynwood Unified,19,Los Angeles,4,1,2
4530267,Shasta Charter Academy,70136,Shasta Union High,45,Shasta,14.78,4.31,10.27
5636188,Simi Valley High,72603,Simi Valley Unified,56,Ventura,82.4,66.03,11.51
131177,Berkeley High,61143,Berkeley Unified,1,Alameda,170.62,121.64,48.97
5030010,Fred C. Beyer High,71175,Modesto City High,50,Stanislaus,68.84,61.34,5.83
3432572,Elk Grove High,67314,Elk Grove Unified,34,Sacramento,83.3,75.34,2.7
4530309,North State Independence High,70136,Shasta Union High,45,Shasta,13.9,5.51,8.3
1933449,Gladstone High,64279,Azusa Unified,19,Los Angeles,45.95,37.53,6.22
3932308,Escalon High,68502,Escalon Unified,39,San Joaquin,36.59,29.9,5.54
5030036,West Side Valley High (Continuation),73601,Newman-Crows Landing Unified,50,Stanislaus,1,0.13,0.88
3334299,Norte Vista High,66977,Alvord Unified,33,Riverside,94.74,78.11,5.02
4530333,Anderson New Technology High,69856,Anderson Union High,45,Shasta,7.27,5.4,1.21
2130078,Tamiscal High (Alternative),65482,Tamalpais Union High,21,Marin,10.31,5.67,4.4
1933472,Daily (Allan F.) High (Continuation),64568,Glendale Unified,19,Los Angeles,14.6,11.99,2.61
114850,West Adams Preparatory High,64733,Los Angeles Unified,19,Los Angeles,66.98,52.95,8.13
131243,Phoenix Rising High,63115,Central Union High,13,Imperial,2.6,2.2,0.4
114868,Oakland Charter High,61259,Oakland Unified,1,Alameda,25,17.58,6.17
139451,Pathways Academy Charter - Adult Education,75416,Warner Unified,37,San Diego,1.51,0.33,1.19
5030085,Stanislaus Military Academy at Teel,10504,Stanislaus County Office of Education,50,Stanislaus,13.42,3.15,7.52
3735750,Point Loma High,68338,San Diego Unified,37,San Diego,75.4,71.22,2
1933530,Glendale High,64568,Glendale Unified,19,Los Angeles,88.9,71.25,8.51
106716,Hamilton High,67082,Hemet Unified,33,Riverside,19.5,17.39,0.4
3834082,Mission High,68478,San Francisco Unified,38,San Francisco,70.92,47.18,10.37
4333795,Abraham Lincoln High,69666,San Jose Unified,43,Santa Clara,76.49,66.37,7.83
106732,High Tech High International,68338,San Diego Unified,37,San Diego,19.4,15.4,2
5030127,Del Puerto High,71217,Patterson Joint Unified,50,Stanislaus,6.14,5.37,0.5
5030135,Peter Johansen High,71175,Modesto City High,50,Stanislaus,75.73,64.11,10.07
123133,Alliance Susan and Eric Smidt Technology High,64733,Los Angeles Unified,19,Los Angeles,20.56,18.45,2.11
123141,Alliance Ted K. Tajima High,64733,Los Angeles Unified,19,Los Angeles,25.85,20.57,5.27
3334406,John W. North High,67215,Riverside Unified,33,Riverside,87.61,74.71,5.15
1933597,Glendora High,64576,Glendora Unified,19,Los Angeles,94.82,84.66,5.86
3735842,Abraxas Continuation High,68296,Poway Unified,37,San Diego,20.33,9.41,9.73
4030755,Atascadero High,68700,Atascadero Unified,40,San Luis Obispo,61.42,50.83,6.97
1737006,Upper Lake High,76976,Upper Lake Unified,17,Lake,15.55,12.1,1.3
5431598,Exeter Union High,76836,Exeter Unified,54,Tulare,38.69,33.46,3.86
2335024,Ukiah High,65615,Ukiah Unified,23,Mendocino,81.97,58.25,20.28
5030200,Argus High (Continuation),71043,Ceres Unified,50,Stanislaus,10.54,7.11,3.01
1032507,Fresno High,62166,Fresno Unified,10,Fresno,83.98,70.88,9.88
3735867,Poway High,68296,Poway Unified,37,San Diego,90.37,74.58,5.75
5431614,Kaweah High,76836,Exeter Unified,54,Tulare,3.26,1.86,0.99
4137279,South San Francisco High,69070,South San Francisco Unified,41,San Mateo,60.9,50.8,2.33
106831,Animo Venice Charter High,64733,Los Angeles Unified,19,Los Angeles,28.1,28.07,0.03
1933647,John H. Glenn High,64840,Norwalk-La Mirada Unified,19,Los Angeles,59.6,49.03,4.33
3637584,Upland High,75069,Upland Unified,36,San Bernardino,137.1,120.43,10.91
737619,Willow High,61697,John Swett Unified,7,Contra Costa,2.2,1,1.2
5030234,Valley Charter High,10504,Stanislaus County Office of Education,50,Stanislaus,9.38,6.32,3.06
106849,Animo Pat Brown,64733,Los Angeles Unified,19,Los Angeles,28.12,23.43,4.68
5030259,Waterford High,75572,Waterford Unified,50,Stanislaus,28.05,21.58,2.39
2630010,Mammoth High,73692,Mammoth Unified,26,Mono,19.64,14.82,2.28
4333951,Live Oak High,69583,Morgan Hill Unified,43,Santa Clara,47.48,39.12,5.97
1532290,East Bakersfield High,63529,Kern High,15,Kern,95.47,77.29,12.1
5030283,John H. Pitman High,75739,Turlock Unified,50,Stanislaus,95.32,78.84,10.7
2630036,Sierra High (Continuation),73692,Mammoth Unified,26,Mono,1.11,0.29,0.82
3735958,Montecito High (Continuation),68304,Ramona City Unified,37,San Diego,6.39,5.23,1.16
3637659,Valley View High (Continuation),67652,Chaffey Joint Union High,36,San Bernardino,25.21,23.22,1.59
5235106,Los Molinos High,71571,Los Molinos Unified,52,Tehama,13.02,8.43,3.23
5530019,Dario Cassina High,72389,Sonora Union High,55,Tuolumne,2.8,1.11,1.69
3735974,Ramona High,68304,Ramona City Unified,37,San Diego,62.27,51.7,8.04
139691,Matilda Torres High,65243,Madera Unified,20,Madera,40.5,32.75,5.7
4735403,Mt. Shasta High,70466,Siskiyou Union High,47,Siskiyou,16.16,13.45,1.25
5530043,Theodore Bird High,72389,Sonora Union High,55,Tuolumne,2,0.75,1.25
5530050,Long Barn High,72413,Summerville Union High,55,Tuolumne,1,1,0
3432903,Estrellita Continuation High,67355,Galt Joint Union High,34,Sacramento,3.05,2,1.05
4235727,Santa Barbara Senior High,76786,Santa Barbara Unified,42,Santa Barbara,91.81,70.58,13.21
4432340,Harbor High,69823,Santa Cruz City High,44,Santa Cruz,48.98,36.84,10.63
631259,Colusa High,61598,Colusa Unified,6,Colusa,21.12,18.66,0.69
5530076,Tioga High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne,5.31,2.95,1.45
1933795,Ulysses S. Grant Senior High,64733,Los Angeles Unified,19,Los Angeles,94.32,62.6,14.98
5530084,Don Pedro High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne,6.02,2.31,0.25
5530092,South Fork High,72413,Summerville Union High,55,Tuolumne,2,0.62,0.19
5530100,Cold Springs High,72413,Summerville Union High,55,Tuolumne,1.99,1.15,0
106997,Orthopaedic Hospital,64733,Los Angeles Unified,19,Los Angeles,36.5,30.02,5.51
107003,Northridge Academy High,64733,Los Angeles Unified,19,Los Angeles,40.98,32.49,4.89
3990025,N.A. Chaderjian High,32276,California Education Authority (CEA) Headquarters,34,Sacramento,16.91,16.19,0.32
737809,Ygnacio Valley High,61754,Mt. Diablo Unified,7,Contra Costa,63.76,46.96,11.82
107029,San Diego International Studies,68338,San Diego Unified,37,San Diego,43.8,39.56,4.38
1933852,Alexander Hamilton Senior High,64733,Los Angeles Unified,19,Los Angeles,110.55,81.43,24.28
3334687,Nueva Vista Continuation High,67090,Jurupa Unified,33,Riverside,15.83,12.18,2.67
4334116,Los Altos High,69609,Mountain View-Los Altos Union High,43,Santa Clara,115.02,109.09,1.77
115238,ARISE High,61259,Oakland Unified,1,Alameda,21.2,9.08,11.62
139816,Griffin Academy High,70581,Vallejo City Unified,48,Solano,2.8,1.8,1
107052,San Diego Business/Leadership,68338,San Diego Unified,37,San Diego,27.84,21.79,2.26
115253,Discovery Charter Preparatory #2,64733,Los Angeles Unified,19,Los Angeles,16,13.4,1.2
4137535,Terra Nova High,68924,Jefferson Union High,41,San Mateo,35.44,30.31,4.53
139840,West Park High,66928,Roseville Joint Union High,31,Placer,29.3,23.68,3.62
5530175,Mountain High,72413,Summerville Union High,55,Tuolumne,1.85,0.93,0
2433605,Livingston High,65789,Merced Union High,24,Merced,58.9,44.07,12.03
107078,Kearny Digital Media & Design,68338,San Diego Unified,37,San Diego,16.2,16.19,0
4530762,North Valley High,69856,Anderson Union High,45,Shasta,5,1.58,3.42
1933902,William S. Hart High,65136,William S. Hart Union High,19,Los Angeles,94.44,80.8,5.92
107086,Kearny School of Biomedical Science and Technology,68338,San Diego Unified,37,San Diego,15.01,13.64,1
107094,Kearny College Connections,68338,San Diego Unified,37,San Diego,14.51,14.01,0
1335900,Imperial High,63164,Imperial Unified,13,Imperial,54.19,43.49,2.4
107102,Kearny Eng Innov & Design,68338,San Diego Unified,37,San Diego,15.91,14,0.66
107110,Six Rivers Charter High,62687,Northern Humboldt Union High,12,Humboldt,4.95,4.13,0.79
836205,Sunset High,61820,Del Norte County Unified,8,Del Norte,4.99,3.19,1.69
131698,Rancho Campana High,72546,Oxnard Union High,56,Ventura,31.01,28.11,1.95
434803,Las Plumas High,61515,Oroville Union High,4,Butte,57.41,48.35,5.95
4530804,Anderson High,69856,Anderson Union High,45,Shasta,26.61,20.02,6
4137592,Thornton High,68924,Jefferson Union High,41,San Mateo,10,5.84,4.17
1933951,Hawthorne High,64352,Centinela Valley Union High,19,Los Angeles,96.08,88.55,3.16
107136,Whitmore Charter High,71043,Ceres Unified,50,Stanislaus,7.2,3.63,0
139915,KIPP Esperanza High,69062,Sequoia Union High,41,San Mateo,9,4,5
