OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,FRPMcount,FRPMpct,DistrctAreaSqMi,Shape__Area,Shape__Length
1,2020-21,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified,PK,12,KG,12,,13,09,18,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,10927,1856,9071,715,6.5,29,0.3,2768,25.3,605,5.5,1989,18.2,61,0.6,3021,27.6,1437,13.2,302,2.8,1316,12,16,0.1,77,0.7,0,0,1275,11.7,3202,29.3,3101,28.4,11.4555701298887,47554894.2539063,56522.9826830263
2,2020-21,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,KG,12,KG,12,,13,09,15,"21 - Suburban, Large",,3501,0,3501,118,3.4,7,0.2,1010,28.8,39,1.1,577,16.5,3,0.1,1007,28.8,489,14,251,7.2,400,11.4,2,0.1,3,0.1,0,0,311,8.9,608,17.4,587,16.8,1.70365433076853,7096327.46484375,12696.3827974513
3,2020-21,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified,PK,12,KG,12,,13,09,15,"12 - City, Midsize ",,9409,0,9409,1193,12.7,26,0.3,781,8.3,79,0.8,2084,22.1,13,0.1,3889,41.3,1331,14.1,13,0.1,635,6.7,16,0.2,199,2.1,0,0,1091,11.6,2563,27.2,2431,25.8,10.4833621756922,43646483.9492188,43695.3415383838
4,2020-21,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified,PK,12,KG,12,,"13,15","07,09,10","18,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,9203,0,9203,451,4.9,10,0.1,2711,29.5,425,4.6,2150,23.4,36,0.4,2237,24.3,924,10,259,2.8,996,10.8,17,0.2,92,1,0,0,850,9.2,2067,22.5,1977,21.5,68.442603560811,283828532.914063,142492.767564508
5,2020-21,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,PK,12,KG,12,,13,09,15,"21 - Suburban, Large",,698,0,698,315,45.1,2,0.3,77,11,6,0.9,169,24.2,8,1.1,60,8.6,56,8,5,0.7,140,20.1,0,0,1,0.1,0,0,69,9.9,561,80.4,555,79.5,1.2894155559776,5363392.45703125,13741.2728937254
6,2020-21,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified,PK,12,KG,12,,"15,17",10,"20,25","21 - Suburban, Large",,35187,405,34782,622,1.8,101,0.3,23136,65.8,1652,4.7,4985,14.2,197,0.6,3170,9,1050,3,274,0.8,3942,11.2,25,0.1,178,0.5,63,0.2,3327,9.5,6965,19.8,6666,18.9,77.8192883012293,321018983.757813,163452.273562606
7,2020-21,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified,PK,12,KG,12,,15,10,20,"12 - City, Midsize ",SY 2018-19 Boundary Adjustment/Correction,21638,2569,19069,1679,7.8,40,0.2,1811,8.4,1522,7,13998,64.7,688,3.2,965,4.5,859,4,76,0.4,6224,28.8,58,0.3,545,2.5,350,1.6,2517,11.6,13685,63.2,12757,59,34.3115916831865,141981818.476563,82372.3100621391
8,2020-21,0622110,0161200,01612000000000,Alameda,Livermore Valley Joint Unified,Unified,PK,12,KG,12,,"11,15",07,"14,16,20","23 - Suburban, Small",SY 2018-19 Boundary Adjustment/Correction,13305,0,13305,156,1.2,56,0.4,1369,10.3,392,2.9,4255,32,39,0.3,5867,44.1,1145,8.6,26,0.2,1367,10.3,12,0.1,101,0.8,168,1.3,1946,14.6,3280,24.7,3034,22.8,266.757604000489,1103915430.32422,206081.113756893
9,2020-21,0626130,0161218,01612180000000,Alameda,Mountain House Elementary,Elementary,KG,08,KG,08,,15,07,16,"41 - Rural, Fringe",SY 2018-19 Boundary Adjustment/Correction,16,0,16,0,0,0,0,0,0,0,0,12,75,0,0,4,25,0,0,0,0,4,25,0,0,0,0,0,0,3,18.8,12,75,12,75,30.0797396527446,124796628.925781,55768.4684652416
10,2020-21,0627060,0161234,01612340000000,Alameda,Newark Unified,Unified,PK,12,KG,12,,17,10,25,"21 - Suburban, Large",,5507,0,5507,157,2.9,14,0.3,917,16.7,498,9,2867,52.1,98,1.8,580,10.5,286,5.2,90,1.6,1062,19.3,17,0.3,251,4.6,61,1.1,716,13,3025,54.9,2958,53.7,14.0984188336274,58146582.9882813,39693.1048625914
11,2020-21,0626910,0161242,01612420000000,Alameda,New Haven Unified,Unified,KG,12,KG,12,,15,10,20,"21 - Suburban, Large",,10812,0,10812,496,4.6,63,0.6,2797,25.9,2075,19.2,4028,37.3,174,1.6,639,5.9,537,5,3,0,2013,18.6,8,0.1,144,1.3,124,1.1,1143,10.6,4474,41.4,4217,39,28.1947282376224,116528920.933594,89708.4021379595
12,2020-21,0628050,0161259,01612590000000,Alameda,Oakland Unified,Unified,PK,12,KG,12,,13,09,"15,18","11 - City, Large",SY 2018-19 Boundary Adjustment/Correction,48704,13215,35489,10551,21.7,111,0.2,5620,11.5,402,0.8,23264,47.8,412,0.8,4790,9.8,2482,5.1,1072,2.2,14600,30,201,0.4,897,1.8,12,0,6883,14.1,35727,73.4,35303,72.5,53.6158357023233,222757863.027344,142807.11717019
13,2020-21,0630330,0161275,01612750000000,Alameda,Piedmont City Unified,Unified,PK,12,KG,12,,13,09,15,"21 - Suburban, Large",,2464,0,2464,38,1.5,0,0,328,13.3,20,0.8,237,9.6,0,0,1389,56.4,450,18.3,2,0.1,22,0.9,0,0,3,0.1,0,0,307,12.5,58,2.4,56,2.3,1.70018994327515,7069097.640625,13206.7433499074
14,2020-21,0634680,0161291,01612910000000,Alameda,San Leandro Unified,Unified,KG,12,KG,12,,"13,15","09,10","18,20","13 - City, Small",SY 2018-19 Boundary Adjustment/Correction,8828,0,8828,1035,11.7,22,0.2,1501,17,582,6.6,4287,48.6,92,1,706,8,471,5.3,132,1.5,2198,24.9,21,0.2,99,1.1,0,0,1209,13.7,5575,63.2,5343,60.5,13.7062669160483,56818832.7226563,65375.0854966008
15,2020-21,0634710,0161309,01613090000000,Alameda,San Lorenzo Unified,Unified,PK,12,KG,12,,"13,15","09,10","18,20","21 - Suburban, Large",,10528,1097,9431,862,8.2,34,0.3,1692,16.1,703,6.7,5964,56.6,170,1.6,704,6.7,330,3.1,69,0.7,2788,26.5,33,0.3,178,1.7,77,0.7,1191,11.3,6661,63.3,6352,60.3,10.9243789251843,45247007.2070313,48415.8206905587
16,2020-21,0600019,0175093,01750930000000,Alameda,Dublin Unified,Unified,PK,12,KG,12,,15,"07,10","16,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,12625,0,12625,362,2.9,9,0.1,7328,58,627,5,1177,9.3,52,0.4,2140,17,921,7.3,9,0.1,913,7.2,5,0,17,0.1,0,0,913,7.2,924,7.3,875,6.9,16.8195983118304,69734312.0039063,51820.5181736095
17,2020-21,0600020,0175101,01751010000000,Alameda,Pleasanton Unified,Unified,PK,12,KG,12,,15,"07,10","16,20","13 - City, Small",,14469,0,14469,205,1.4,19,0.1,6871,47.5,263,1.8,1443,10,31,0.2,4768,33,789,5.5,80,0.6,1497,10.3,11,0.1,40,0.3,0,0,1219,8.4,1265,8.7,1226,8.5,40.3493640839967,167046790.058594,71218.1187421937
18,2020-21,0600021,0175119,01751190000000,Alameda,Sunol Glen Unified,Unified,KG,08,KG,12,,"15,17",07,20,"41 - Rural, Fringe",SY 2018-19 Boundary Adjustment/Correction,273,0,273,3,1.1,0,0,74,27.1,3,1.1,41,15,2,0.7,120,44,30,11,0,0,13,4.8,0,0,0,0,0,0,7,2.6,27,9.9,25,9.2,85.5793364547265,353288125.445313,94567.6142844482
19,2020-21,0602070,0261333,02613330000000,Alpine,Alpine County Unified,Unified,KG,12,KG,12,,04,01,05,"42 - Rural, Distant",,73,0,73,0,0,30,41.1,1,1.4,1,1.4,3,4.1,0,0,34,46.6,4,5.5,0,0,0,0,0,0,9,12.3,0,0,11,15.1,45,61.6,45,61.6,743.188876492027,3156005636.99219,275565.411313899
20,2020-21,0602450,0373981,03739810000000,Amador,Amador County Unified,Unified,KG,12,KG,12,,04,08,05,"32 - Town, Distant",,3889,0,3889,17,0.4,80,2.1,16,0.4,18,0.5,897,23.1,6,0.2,2553,65.6,269,6.9,33,0.8,101,2.6,23,0.6,118,3,0,0,750,19.3,1674,43,1618,41.6,605.950492521221,2562527944.89844,359598.554661682
21,2020-21,0603780,0461382,04613820000000,Butte,Bangor Union Elementary,Elementary,KG,08,KG,08,,01,04,03,"42 - Rural, Distant",,107,0,107,0,0,2,1.9,0,0,0,0,23,21.5,0,0,74,69.2,7,6.5,1,0.9,7,6.5,6,5.6,3,2.8,0,0,19,17.8,84,78.5,82,76.6,39.9499579472303,173498047.789063,74073.5643574736
22,2020-21,0605040,0461408,04614080000000,Butte,Biggs Unified,Unified,KG,12,KG,12,,01,04,03,"42 - Rural, Distant",,563,0,563,22,3.9,4,0.7,10,1.8,0,0,214,38,3,0.5,306,54.4,4,0.7,0,0,51,9.1,7,1.2,32,5.7,4,0.7,74,13.1,370,65.7,358,63.6,134.277144386985,584180575.761719,117054.152668438
23,2020-21,0608370,0461424,04614240000000,Butte,Chico Unified,Unified,PK,12,KG,12,,01,04,"01,03","13 - City, Small",SY 2019-20 Boundary Adjustment/Correction,13909,1998,11911,287,2.1,167,1.2,623,4.5,73,0.5,3567,25.6,57,0.4,7983,57.4,859,6.2,293,2.1,726,5.2,109,0.8,254,1.8,11,0.1,1838,13.2,6853,49.3,6703,48.2,329.634291993473,1448557126.75,232966.148464641
24,2020-21,0611730,0461432,04614320000000,Butte,Durham Unified,Unified,KG,12,KG,12,,01,04,03,"41 - Rural, Fringe",,991,0,991,4,0.4,6,0.6,5,0.5,0,0,233,23.5,0,0,691,69.7,51,5.1,1,0.1,75,7.6,3,0.3,50,5,7,0.7,126,12.7,450,45.4,446,45,181.783095906003,794276212.078125,149729.917135789
25,2020-21,0615480,0461457,04614570000000,Butte,Golden Feather Union Elementary,Elementary,KG,08,KG,08,,01,04,"01,03","41 - Rural, Fringe",SY 2019-20 Boundary Adjustment/Correction,62,0,62,1,1.6,0,0,0,0,0,0,10,16.1,0,0,49,79,2,3.2,0,0,3,4.8,1,1.6,20,32.3,0,0,12,19.4,53,85.5,53,85.5,211.506780332547,927718354.339844,192389.028801396
26,2020-21,0623700,0461499,04614990000000,Butte,Manzanita Elementary,Elementary,KG,08,KG,08,,01,04,03,"41 - Rural, Fringe",,276,0,276,1,0.4,2,0.7,14,5.1,0,0,115,41.7,1,0.4,128,46.4,15,5.4,0,0,40,14.5,1,0.4,0,0,2,0.7,22,8,125,45.3,124,44.9,11.3419613974,49155706.609375,32175.2522244597
27,2020-21,0629100,0461507,04615070000000,Butte,Oroville City Elementary,Elementary,PK,12,KG,08,,01,04,"01,03","32 - Town, Distant",2019-20 District Merge: Oroville City annexes Feather Falls Union,2533,378,2155,83,3.3,92,3.6,222,8.8,13,0.5,418,16.5,4,0.2,1308,51.6,382,15.1,11,0.4,170,6.7,37,1.5,51,2,1,0,373,14.7,1907,75.3,1895,74.8,178.81266557911,779989542.105469,211288.535661203
28,2020-21,0629130,0461515,04615150000000,Butte,Oroville Union High,High,09,12,09,12,,01,04,"01,03","32 - Town, Distant",,2334,0,2334,95,4.1,181,7.8,297,12.7,13,0.6,510,21.9,9,0.4,1127,48.3,81,3.5,21,0.9,90,3.9,29,1.2,87,3.7,5,0.2,345,14.8,1717,73.6,1701,72.9,669.833146369684,2926741708.19141,321317.406906626
29,2020-21,0629540,0461523,04615230000000,Butte,Palermo Union Elementary,Elementary,PK,08,KG,08,,01,04,03,"41 - Rural, Fringe",,1278,0,1278,10,0.8,52,4.1,44,3.4,2,0.2,421,32.9,2,0.2,592,46.3,122,9.5,33,2.6,156,12.2,11,0.9,65,5.1,1,0.1,137,10.7,1004,78.6,999,78.2,68.8020992335566,298797808.253906,97650.7286733336
30,2020-21,0629820,0461531,04615310000000,Butte,Paradise Unified,Unified,PK,12,KG,12,,01,04,"01,03","31 - Town, Fringe",SY 2019-20 Boundary Adjustment/Correction,2102,569,1533,13,0.6,35,1.7,11,0.5,8,0.4,283,13.5,0,0,1614,76.8,136,6.5,2,0.1,18,0.9,15,0.7,163,7.8,0,0,309,14.7,1370,65.2,1349,64.2,226.563439324152,999654453.453125,225937.968140775
31,2020-21,0639180,0461549,04615490000000,Butte,Thermalito Union Elementary,Elementary,KG,08,KG,08,,01,04,"01,03","32 - Town, Distant",,1507,0,1507,32,2.1,46,3.1,447,29.7,9,0.6,196,13,7,0.5,643,42.7,117,7.8,10,0.7,198,13.1,14,0.9,33,2.2,0,0,138,9.2,1311,87,1306,86.7,44.8929253024584,195713654.195313,86467.9435641252
32,2020-21,0630520,0473379,04733790000000,Butte,Pioneer Union Elementary,Elementary,KG,08,KG,08,,01,04,01,"42 - Rural, Distant",SY 2019-20 Boundary Adjustment/Correction,52,0,52,0,0,1,1.9,0,0,0,0,10,19.2,0,0,33,63.5,3,5.8,5,9.6,2,3.8,2,3.8,46,88.5,0,0,6,11.5,52,100,52,100,125.868717974782,551024301.507813,155135.333122624
33,2020-21,0600051,0475507,04755070000000,Butte,Gridley Unified,Unified,KG,12,KG,12,,01,04,03,"32 - Town, Distant",SY 2019-20 Boundary Adjustment/Correction,2080,0,2080,11,0.5,4,0.2,53,2.5,1,0,1198,57.6,3,0.1,708,34,20,1,82,3.9,286,13.8,10,0.5,25,1.2,36,1.7,252,12.1,1644,79,1633,78.5,96.871877183862,420090674.070313,110651.755096282
34,2020-21,0605940,0561556,05615560000000,Calaveras,Bret Harte Union High,High,09,12,09,12,,04,08,05,"32 - Town, Distant",SY 2018-19 Boundary Adjustment/Correction,624,0,624,5,0.8,11,1.8,7,1.1,1,0.2,137,22,0,0,427,68.4,36,5.8,0,0,8,1.3,2,0.3,3,0.5,0,0,103,16.5,223,35.7,209,33.5,445.350634651312,1868079539.19141,364813.756054773
35,2020-21,0606870,0561564,05615640000000,Calaveras,Calaveras Unified,Unified,KG,12,KG,12,,04,08,05,"42 - Rural, Distant",SY 2018-19 Boundary Adjustment/Correction,2685,0,2685,18,0.7,43,1.6,18,0.7,10,0.4,620,23.1,1,0,1782,66.4,174,6.5,19,0.7,100,3.7,34,1.3,72,2.7,0,0,476,17.7,1371,51.1,1338,49.8,591.575926362439,2488133754.51172,314947.264148248
36,2020-21,0623970,0561572,05615720000000,Calaveras,Mark Twain Union Elementary,Elementary,KG,08,KG,08,,04,08,05,"32 - Town, Distant",SY 2018-19 Boundary Adjustment/Correction,690,0,690,6,0.9,13,1.9,2,0.3,2,0.3,175,25.4,2,0.3,450,65.2,39,5.7,1,0.1,52,7.5,2,0.3,1,0.1,0,0,112,16.2,403,58.4,399,57.8,233.745804447261,976669867.511719,182962.348685392
37,2020-21,0640680,0561580,05615800000000,Calaveras,Vallecito Union,Elementary,KG,08,KG,08,,04,08,05,"43 - Rural, Remote",SY 2018-19 Boundary Adjustment/Correction,544,0,544,1,0.2,7,1.3,3,0.6,2,0.4,95,17.5,2,0.4,400,73.5,30,5.5,4,0.7,22,4,2,0.4,24,4.4,0,0,69,12.7,254,46.7,237,43.6,211.604830204051,891409671.679688,235133.192011757
38,2020-21,0609570,0661598,06615980000000,Colusa,Colusa Unified,Unified,KG,12,KG,12,,03,04,"03,04","32 - Town, Distant",,1529,0,1529,16,1,49,3.2,18,1.2,1,0.1,1109,72.5,6,0.4,316,20.7,14,0.9,0,0,465,30.4,16,1,48,3.1,43,2.8,194,12.7,983,64.3,904,59.1,145.625110979725,629556916.101563,161675.283521383
39,2020-21,0624150,0661606,06616060000000,Colusa,Maxwell Unified,Unified,KG,12,KG,12,,03,04,"03,04","42 - Rural, Distant",SY 2019-20 Boundary Adjustment/Correction,325,0,325,5,1.5,6,1.8,0,0,0,0,182,56,0,0,128,39.4,0,0,4,1.2,104,32,2,0.6,64,19.7,10,3.1,38,11.7,244,75.1,241,74.2,387.810534821062,1678875462.10938,250722.89293379
40,2020-21,0630360,0661614,06616140000000,Colusa,Pierce Joint Unified,Unified,KG,12,KG,12,,03,"03,04",04,"32 - Town, Distant",,1443,0,1443,13,0.9,1,0.1,18,1.2,3,0.2,1130,78.3,2,0.1,250,17.3,19,1.3,7,0.5,503,34.9,10,0.7,101,7,46,3.2,173,12,954,66.1,868,60.2,348.271456188616,1494905879.125,217065.356291416
