Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2020,Alameda,1681700,825445,103165882000,59976,5,303772,138277,4,6581885000,37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
2020,Colusa,21826,10263,617994000,39089,29,4004,61402,49,25799000,39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
2020,Glenn,28822,13065,719949000,36489,36,5169,64912,45,25316000,39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
2020,Tuolumne,55500,23707,1557818000,39102,28,9519,71646,36,67844000,37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
2020,San Mateo,763497,388015,90690146000,67870,3,148565,158524,3,7897935000,37.43944139,-122.3344603,POINT (-122.3344603 37.43944139)
2020,Modoc,8703,3116,148537000,32627,51,1271,55723,56,4742000,41.71368177,-120.943072,POINT (-120.943072 41.71368177)
2020,San Bernardino,2181983,972161,55745516000,35438,40,310396,72840,33,1963635000,34.52258599,-115.5372574,POINT (-115.5372574 34.52258599)
2020,Mono,13185,5804,375892000,36904,34,1961,79079,24,16220000,38.34709997,-119.3327269,POINT (-119.3327269 38.34709997)
2020,Sutter,100751,42808,2426193000,35901,38,17255,65305,43,85768000,39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
2020,Kern,907021,363522,19710722000,31594,55,120824,66438,41,794389000,35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
2020,Marin,262410,128613,28495133000,67925,2,50988,170509,1,2396461000,38.03952573,-122.7299513,POINT (-122.7299513 38.03952573)
2020,Shasta,181881,82373,4945598000,37065,33,31730,71099,38,186769000,40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
2020,Unallocated,,1174,82457000,22845,,249,45953,,5790000,0,0,POINT (0 0)
2020,Nonresident,,839950,92143204000,22021,,405594,30228,,10057130000,0,0,POINT (0 0)
2020,Alpine,1199,494,34290000,31360,56,167,89702,19,1676000,38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
2020,Contra Costa,1166669,526021,60813160000,54897,7,199287,119088,6,3812311000,37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
