ZipCode,Population,Number of Households,Median Income,Average Income
90620,47104,13124,104701,119973
90621,36385,10744,76101,94875
90623,15703,4944,105632,126833
90630,50543,16118,109051,129618
90631,69601,21886,93045,117470
90680,30500,9667,71473,97397
90720,23660,8247,118531,155255
90740,24721,12836,75019,115747
90742,470,324,91250,142006
90743,487,200,154750,131917
92612,34640,14122,76648,112618
92614,29307,11223,104971,135917
92617,17960,4092,57372,105949
92618,54368,20890,117833,151934
92620,60344,21158,131521,159392
92602,27425,9125,123455,150155
92603,19128,7131,175012,209553
92604,29983,10407,114575,136001
92606,25126,9018,124586,146434
92610,12524,4229,155101,174217
92624,6398,2555,110990,151298
92625,13102,5860,167925,260716
92626,50389,19364,98766,122997
92627,62575,22141,94833,128017
92629,26929,11642,111155,157959
92630,66621,23246,108963,135252
92637,17546,11933,53076,70559
92646,55939,21399,112926,142281
92647,60592,21002,97736,116360
92648,45612,19726,105759,146577
92649,36130,14696,104320,148612
92651,24042,10976,138734,225432
92653,30183,10738,111111,162178
92655,8440,2505,48323,79935
92656,53169,19701,121275,142163
92657,9342,3648,181176,286765
92660,36100,15806,142500,230241
92661,3279,1652,169911,239089
92662,2471,1217,143781,215091
92663,21523,10552,118718,190832
92672,38872,15185,96929,141657
92673,30972,9774,159244,207533
92675,35319,12460,111875,152296
92676,1988,760,107794,149902
92677,64608,25361,125495,168607
92678,638,242,125000,130855
92679,31406,10493,197951,242770
92683,91267,27611,71108,100793
92688,44386,15446,127522,147808
92691,48437,16400,122967,141839
92692,46240,16588,128194,159571
92694,34879,11292,165290,202807
92701,49008,12341,57796,73938
92703,64387,13543,71807,87517
92704,79641,19686,80902,99472
92705,47851,14959,119260,158721
92706,36694,10076,80990,107391
92707,60478,14142,89455,102774
92708,57139,18852,92765,121234
92780,54840,17420,83662,105901
92782,30123,10988,123909,167932
92801,65662,18522,71309,83929
92802,42911,11946,70622,85348
92804,86503,24586,70649,88765
92805,73736,20593,74002,89871
92806,40009,12521,83330,106965
92807,36110,12248,126354,150854
92808,21496,7797,137009,168942
92821,41286,14822,105330,128957
92823,5626,1762,143971,169202
92831,36859,12401,79461,110967
92832,25720,8203,79593,96051
92833,53188,16584,98176,128669
92835,26917,9120,132228,170403
92840,53681,15530,80471,95508
92841,34650,9531,68875,90788
92843,48413,11802,74940,90778
92844,22601,6733,64536,84263
92845,15240,5380,116333,127637
92861,5864,1965,172375,258683
92865,21384,6813,118212,132451
92866,14966,5626,78365,111844
92867,44232,12948,108547,147032
92868,27233,7990,79722,96292
92869,36174,11243,126864,166444
92870,53126,16727,103233,124237
92886,50764,16777,132888,168891
92887,20395,7071,143723,188491
