ZipCode,Population,Number of Households,Median Income,Average Income
92201,63325,25316,50144,68546
92203,32829,12228,80430,100947
92210,4827,2517,120680,208208
92211,26106,12946,72445,113954
92220,32523,11617,48622,66691
92223,60328,18462,90074,104139
92225,21272,5036,48102,66483
92230,2357,807,66337,77385
92234,51836,18827,56671,78863
91752,35641,9157,98913,119410
92236,42218,15722,40641,55251
92239,301,139,39750,61010
92240,39173,13962,42155,56173
92241,7319,3498,36268,50930
92253,37814,15358,83348,130398
92254,7478,3251,28897,34972
92258,627,231,21641,40703
92260,31286,14717,63023,99512
92262,25888,13062,60289,102622
92264,19965,11005,63518,106420
92270,17129,8817,95158,147469
92274,12843,5746,26500,37203
92276,8052,2879,56055,67263
92282,1274,430,42500,54379
92320,10053,3653,67835,83652
92324,57931,17955,61070,73202
92373,32340,12793,86430,130031
92501,21610,6562,71980,86439
92503,90256,24338,80594,101046
92504,58173,15659,73153,94709
92505,52807,14152,72721,87406
92506,43900,14415,107085,134312
92507,59767,16875,61410,77244
92508,36191,9763,129794,147148
92509,80036,18749,81747,98348
92518,1103,488,85435,79218
92530,58927,16083,70714,86007
92532,26840,7684,94752,117444
92536,2401,965,65509,91654
92539,4821,1545,48954,67600
92543,38769,13145,41826,59391
92544,52364,16058,57881,76591
92545,43440,15347,49458,64731
92548,7665,2232,54444,70118
92549,2896,1308,72738,88467
92551,35421,8171,80287,87156
92553,73632,19158,59966,68856
92555,45694,11493,98162,111539
92557,54225,14516,79833,94612
92561,1646,694,62115,113745
92562,63968,20226,101667,125349
92563,76795,21383,105106,126667
92567,10480,2592,86818,123554
92570,59667,14230,68305,88932
92571,58773,13351,73026,85690
92582,20580,5066,78812,96350
92583,34103,9984,50847,67056
92584,54837,15668,103842,120978
92585,25238,7180,89105,107004
92586,20022,9155,50921,63041
92860,26204,7060,115773,129590
92879,48033,13758,76973,96774
92880,74933,18961,128425,145680
92881,31061,9057,125134,148208
92587,18432,5888,95000,116469
92590,5364,1919,65389,162387
92591,40889,13382,94745,113727
92592,82090,24499,114281,141632
92595,34611,10286,83799,103868
92596,35294,8824,106957,128515
92882,70257,19622,90900,109061
92883,35788,11248,112151,139201
