ZipCode,Population,Number of Households,Median Income,Average Income
89019,2117,1122,0,93649
91701,39019,12845,105044,125109
91708,14179,4096,98161,102600
91709,78333,24961,109318,132720
91710,82192,22214,89375,106716
91730,69787,24460,76750,94443
91737,23790,7760,105943,136446
91739,41427,11336,126111,167823
91759,367,175,101688,98549
91761,60342,17624,79614,96515
92242,1256,599,45994,59143
92252,8797,3597,49032,69514
92256,3159,1515,42552,59158
92267,22,22,0,0
92268,503,279,44028,58611
91762,61690,18012,69103,88210
91763,37821,9896,67853,81543
91764,56317,16291,65941,78099
91784,26330,8992,138017,158469
91786,55405,19456,71693,88602
92277,26666,9873,47049,59736
92278,3318,0,0,0
92284,25832,10285,50353,73696
92285,2699,1062,35732,40332
92301,37571,8605,57714,66130
92305,439,149,91016,91803
92307,40604,13224,69595,89602
92308,43079,13856,57265,77084
92309,593,229,28933,46472
92310,9100,2790,58000,63701
92311,34204,11526,49919,66309
92313,13079,4721,76791,93396
92314,10905,4399,61034,72825
92315,5225,2212,67547,98699
92316,28593,7550,68589,78839
92321,1010,440,43542,93008
92322,847,399,0,102673
92324,57931,17955,61070,73202
92325,8347,3317,64549,79194
92327,756,379,18201,23323
92332,174,65,178307,148822
92333,462,237,117708,104710
92335,97358,24921,64946,75773
92336,98896,26519,103200,118958
92337,38079,9720,89965,100677
92339,1146,506,77649,82968
92341,339,155,51375,76073
92342,6347,2467,81861,98310
92344,20768,5629,90560,108180
92345,87994,25960,54881,68760
92346,60133,17966,74569,100160
92347,754,303,40923,42721
92352,5382,2021,97034,135067
92354,22977,8515,67776,88676
92356,6901,2428,36720,53813
92358,843,351,63194,71067
92359,9587,3251,62891,84244
92363,5312,2079,33268,52636
92364,12,12,0,0
92365,2485,1019,55625,53634
92368,1017,289,41442,72814
92371,21123,5745,63605,80571
92372,5701,1823,62542,102465
92373,32340,12793,86430,130031
92374,45066,14568,86132,106204
92376,86826,22101,64478,77604
92377,20201,5257,100625,111965
92378,446,143,59205,56615
92382,4323,1696,72331,83663
92385,176,101,47386,73550
92386,1943,876,40568,54049
92391,1996,884,75117,61900
92392,61014,16641,66908,83898
92394,39540,9636,68767,100514
92395,47416,15252,50223,68988
92397,5215,2262,66591,99445
92398,1424,646,52259,73446
93516,2548,1051,64306,83429
93558,17,8,0,0
92399,55016,18504,76311,97886
92401,2085,740,38667,59849
92404,64146,18591,55381,71556
92405,30930,9226,45478,60287
92407,68662,17574,76743,93262
92408,12169,3633,56683,67812
92410,46615,12949,45741,56998
92411,26895,6683,52281,65619
93562,1757,742,45682,53070
