SchoolCode,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
100065,74,1669,54.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100081,875,16045,460.0,12194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100180,24,88,10.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100198,743,14731,117.0,3243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100255,332,8306,207.0,5718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100354,183,4321,100.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100420,816,23358,582.0,17717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100529,352,8700,192.0,5666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100602,155,4039,118.0,3279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100677,36,1053,25.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100701,36,1058,25.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100750,28,635,24.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100800,59,1370,44.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101162,452,10397,302.0,7708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101196,111,2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101477,132,3554,103.0,2927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101576,295,4718,103.0,2651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101659,6,255,6.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101675,60,1345,32.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101725,68,1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101774,115,1307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101881,63,1193,33.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101899,119,1750,39.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101907,119,2138,38.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101956,91,2315,53.0,1521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101972,370,7875,259.0,6224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102038,163,3834,73.0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102103,109,1723,67.0,1128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102236,424,13666,329.0,11107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102285,605,16384,366.0,11520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102293,68,797,31.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102368,335,9938,214.0,6789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102392,149,3285,93.0,2188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102434,87,2094,55.0,1393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102459,705,12868,256.0,7561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102475,619,13795,332.0,10032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102830,669,14262,402.0,10069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102913,41,1296,32.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102921,32,1094,26.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105734,692,19032,495.0,15767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105858,364,9929,163.0,4975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105916,274,7300,165.0,5050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106112,53,188,42.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106120,612,4262,336.0,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
