Dcode,DropoutRate,CohortStudentsSum,Total fund,CO,DISTRICT,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,District,TOTALREV_x,TFEDREV_x,TSTREV_x,TLOCREV_x,Total Fund Per Enrollment,TOTALREV_y,TFEDREV_y,TLOCREV_y,TSTREV_y
61119,0.051062655,25361,834309631.0,1,Alameda Unified,"122,421,584.91","8,975.20","13,639.98",Unified,ALAMEDA UNIFIED SCH DIST,152604,5885,74928,71791,32897.34754,152604,5885,71791,74928
61127,0.037131231,7864,486648245.3,1,Albany City Unified,"47,343,135.51","3,484.19","13,587.99",Unified,ALBANY CITY UNIFIED SCH DIST,78758,6281,42105,30372,61883.04238,78758,6281,30372,42105
61143,0.090191481,25590,1379337089.0,1,Berkeley Unified,"173,753,016.19","9,426.03","18,433.32",Unified,BERKELEY UNIFIED SCH DIST,212767,7691,79302,125774,53901.41029,212767,7691,125774,79302
61150,0.04973846,21794,810156553.8,1,Castro Valley Unified,"105,286,407.91","8,976.77","11,728.76",Unified,CASTRO VAL UNIFIED SCH DIST,165687,21190,98977,45520,37173.37587,165687,21190,45520,98977
61168,0.054421769,1176,160204877.8,1,Emery Unified,"12,731,320.51",688.6,"18,488.70",Unified,EMERY UNI SCH DIST,19385,1362,3555,14468,136228.6376,19385,1362,14468,3555
61176,0.07157685,72258,2953400266.0,1,Fremont Unified,"374,901,551.77","33,933.99","11,047.97",Unified,FREMONT UNIF SCHOOL DIST,483035,17362,254039,211634,40872.98661,483035,17362,211634,254039
61192,0.132496845,54673,2372916052.0,1,Hayward Unified,"289,384,778.70","18,711.84","15,465.33",Unified,HAYWARD UNIFIED SCHOOL DISTRICT,330918,27570,190304,113044,43401.97268,330918,27570,113044,190304
61200,0.022022214,31332,905415947.4,1,Livermore Valley Joint Unified,"163,383,447.30","13,195.12","12,382.11",Unified,LIVERMORE VALLEY JT UNIFIED SCH DIST,185774,6611,82676,96487,28897.48332,185774,6611,96487,82676
61234,0.09523157,14596,468135366.0,1,Newark Unified,"66,242,266.10","5,482.67","12,082.12",Unified,NEWARK UNIF SCH DIST,89064,3711,39730,45623,32072.85325,89064,3711,45623,39730
61242,0.026723121,28814,898334391.7,1,New Haven Unified,"127,107,741.85","10,418.38","12,200.34",Unified,NEW HAVEN UNIFIED SCHOOL DIST,164428,7094,88351,68983,31177.01089,164428,7094,68983,88351
61259,0.123808517,122956,3487775881.0,1,Oakland Unified,"618,421,030.73","33,910.89","18,236.65",Unified,OAKLAND UNIF SCH DIST,760236,63687,377426,319123,28366.04867,760236,63687,319123,377426
61275,0.005590496,5724,267873529.3,1,Piedmont City Unified,"44,350,774.78","2,495.68","17,771.02",Unified,PIEDMONT CITY UNIF SCH DIST,54755,1117,15915,37723,46798.3105,54755,1117,37723,15915
61291,0.106197833,22524,1006737425.0,1,San Leandro Unified,"115,645,126.77","8,613.44","13,426.13",Unified,SAN LEANDRO UNI SCH DIST,140905,7848,77204,55853,44696.2096,140905,7848,55853,77204
61309,0.047632517,35354,982695595.6,1,San Lorenzo Unified,"130,415,970.74","9,334.41","13,971.53",Unified,SAN LORENZO UNIFIED SCHOOL DIST,154360,8721,97979,47660,27795.88153,154360,8721,47660,97979
61408,0.04494382,1424,56266431.56,4,Biggs Unified,"6,841,559.37",562.7,"12,158.45",Unified,BIGGS UNIFIED SCH DIST,8458,687,5063,2708,39512.94351,8458,687,2708,5063
61424,0.065319316,34339,782483850.1,4,Chico Unified,"154,106,704.49","11,830.15","13,026.61",Unified,CHICO UNIF SCHOOL DIST,183886,11550,102493,69843,22787.03078,183886,11550,69843,102493
61432,0.031578947,2280,100754535.8,4,Durham Unified,"10,769,931.84","1,002.73","10,740.61",Unified,DURHAM UNIFIED SCH DIST,12434,473,7912,4049,44190.58589,12434,473,4049,7912
61507,0.142857143,224,123566617.5,4,Oroville City Elementary,"30,683,633.25","2,214.04","13,858.66",Elementary,OROVILLE CITY ELEM SCH DIST,31920,2098,23537,6285,551636.6853,31920,2098,6285,23537
61515,0.094477359,18904,160180039.5,4,Oroville Union High,"30,670,295.68","2,158.00","14,212.37",High,OROVILLE UNION HIGH SCHOOL DIST,36760,2334,21842,12584,8473.341066,36760,2334,12584,21842
61531,0.06587582,7924,498974701.8,4,Paradise Unified,"28,771,232.27","1,601.33","17,967.09",Unified,PARADISE UNIFIED SCHOOL DISTRICT,48495,3126,32453,12916,62970.05322,48495,3126,12916,32453
61556,0.032831737,4386,61389932.14,5,Bret Harte Union High,"11,473,177.64",588.44,"19,497.62",High,BRET HARTE UNION HIGH SCH DIST,13787,267,1572,11948,13996.79255,13787,267,11948,1572
61564,0.017795637,6968,137653549.9,5,Calaveras Unified,"30,680,818.68","2,699.49","11,365.41",Unified,CALAVERAS UNI SCH DIST,38778,2170,12550,24058,19755.10188,38778,2170,24058,12550
61598,0.017967434,3562,74187100.34,6,Colusa Unified,"16,881,317.15","1,464.71","11,525.36",Unified,COLUSA UNIFIED SCH DIST,19745,1130,14204,4411,20827.37236,19745,1130,4411,14204
61606,0.0,480,19257094.54,6,Maxwell Unified,"4,452,842.34",328.4,"13,559.20",Unified,MAXWELL UNIF SCH DIST,4941,321,3061,1559,40118.94696,4941,321,1559,3061
61614,0.0,3522,117922209.4,6,Pierce Joint Unified,"16,209,976.62","1,400.48","11,574.59",Unified,PIERCE J. T. UNIFIED SCHOOL DIST,21147,987,13595,6565,33481.60404,21147,987,6565,13595
61622,0.067955477,3414,92354140.29,6,Williams Unified,"16,122,075.28","1,258.65","12,809.02",Unified,WILLIAMS UNIFIED SCH DIST,20783,2331,13480,4972,27051.59352,20783,2331,4972,13480
61630,0.013480663,36200,460259998.7,7,Acalanes Union High,"86,309,854.25","5,413.25","15,944.18",High,ACALANES UNION HIGH SCHOOL DIST,100233,1734,14213,84286,12714.3646,100233,1734,84286,14213
61648,0.090169182,43740,846900521.3,7,Antioch Unified,"196,188,265.83","15,148.06","12,951.38",Unified,ANTIOCH UNIFIED SCH DIST,235844,15653,155829,64362,19362.15184,235844,15653,64362,155829
61663,0.038709677,2480,64324380.71,7,Byron Union Elementary,"15,750,753.65","1,384.45","11,376.90",Elementary,BYRON UNION ELEM SCH DIST,21554,674,11772,9108,25937.25029,21554,674,9108,11772
61697,0.136155606,3496,253724670.1,7,John Swett Unified,"18,275,010.45","1,328.21","13,759.13",Unified,JOHN SWETT UNIFIED SCH DIST,25175,1087,8729,15359,72575.70656,25175,1087,15359,8729
61721,0.033178749,58652,802286877.2,7,Liberty Union High,"92,555,459.30","7,860.29","11,775.07",High,LIBERTY UNION HIGH SCHOOL DIST,118902,3100,58877,56925,13678.76419,118902,3100,56925,58877
70797,0.431629013,3364,45855340.07,49,Liberty Elementary,"2,813,346.18",203.35,"13,834.99",Elementary,LIBERTY UNION HIGH SCHOOL DIST,118902,3100,58877,56925,13631.19503,118902,3100,56925,58877
61739,0.044260906,9444,476437451.2,7,Martinez Unified,"47,060,250.96","3,970.10","11,853.67",Unified,MARTINEZ UNIFIED SCHOOL DISTRICT,61259,1946,23107,36206,50448.69242,61259,1946,36206,23107
61754,0.120022056,65288,1866960753.0,7,Mt. Diablo Unified,"339,332,997.28","29,122.07","11,652.09",Unified,MT DIABLO UNIFIED SCHOOL DISTRICT,479186,26708,235385,217093,28595.77186,479186,26708,217093,235385
61788,0.063519778,33218,775502221.2,7,Pittsburg Unified,"144,339,850.93","10,770.46","13,401.46",Unified,PITTSBURG UNIFIED SCHOOL DISTRICT,177750,11474,123663,42613,23345.84325,177750,11474,42613,123663
61796,0.061404387,79864,3060418613.0,7,West Contra Costa Unified,"364,759,905.31","26,557.99","13,734.47",Unified,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,508918,32602,252794,223522,38320.3773,508918,32602,223522,252794
61804,0.018601212,70318,1938199742.0,7,San Ramon Valley Unified,"357,134,646.92","30,948.61","11,539.60",Unified,SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,430213,7081,153279,269853,27563.35138,430213,7081,269853,153279
63214,0.1,1760,96213066.85,13,San Pasqual Valley Unified,"14,293,716.02",600.64,"23,797.48",Unified,SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,430213,7081,153279,269853,54666.51526,430213,7081,269853,153279
69807,0.036363636,8690,287597315.1,44,San Lorenzo Valley Unified,"28,151,128.92","2,180.89","12,908.09",Unified,SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,430213,7081,153279,269853,33095.20312,430213,7081,269853,153279
61820,0.083881579,7296,286120339.2,8,Del Norte County Unified,"45,272,500.97","3,450.70","13,119.80",Unified,DEL NORTE CO UNIF SCH DIST,54326,5641,35651,13034,39216.05526,54326,5641,13034,35651
61838,0.102189781,4932,253609477.7,9,Buckeye Union Elementary,"49,258,055.64","4,546.26","10,834.85",Elementary,BUCKEYE UNION SCH DIST,64403,1375,35675,27353,51421.22418,64403,1375,27353,35675
61853,0.014979984,46462,328199217.8,9,El Dorado Union High,"76,401,137.60","6,469.93","11,808.65",High,EL DORADO UN HIGH SCHOOL DIST,90446,2468,42082,45896,7063.82028,90446,2468,45896,42082
61903,0.045657016,8980,210306015.2,9,Lake Tahoe Unified,"48,474,669.83","3,625.98","13,368.71",Unified,LAKE TAHOE UNI SCH DIST,56790,2937,26178,27675,23419.37809,56790,2937,27675,26178
62117,0.020701197,93811,3205797668.0,10,Clovis Unified,"500,264,555.50","41,556.18","12,038.27",Unified,CLOVIS UNIFIED SCHOOL DISTRICT,612651,29386,407747,175518,34172.93993,612651,29386,175518,407747
62125,0.160190476,10500,307366606.8,10,Coalinga-Huron Unified,"59,966,114.32","4,226.92","14,186.72",Unified,COALINGA HURON JT UNIFIED SCH DIST,69620,5936,50946,12738,29273.01017,69620,5936,12738,50946
62158,0.026900219,6394,278684827.5,10,Fowler Unified,"32,618,016.49","2,476.22","13,172.50",Unified,FOWLER UNIFIED SCH DIST,38806,3024,25202,10580,43585.36557,38806,3024,10580,25202
62166,0.104123642,163181,7328402121.0,10,Fresno Unified,"995,063,037.13","66,903.50","14,873.11",Unified,FRESNO UNIFIED SCH DIST,1154034,130179,881923,141932,44909.65321,1154034,130179,141932,881923
62257,0.017435192,8718,93751970.27,10,Kingsburg Joint Union High,"16,053,112.47","1,129.04","14,218.37",High,KINGSBURG JOINT UNION ELEMENTARY SCHOOL DISTRICT,26768,2163,19458,5147,10753.83921,26768,2163,5147,19458
62265,0.025983342,25093,657850865.6,10,Kings Canyon Joint Unified,"130,337,799.26","9,158.19","14,231.83",Unified,KINGS CANYON UNIFIED SCHOOL DIST,156088,14299,117985,23804,26216.50921,156088,14299,23804,117985
62281,0.029304029,1092,80296811.1,10,Laton Joint Unified,"10,146,583.04",625.24,"16,228.30",Unified,LATON JT UNIF SCHOOL DISTRICT,10506,907,7154,2445,73531.8783,10506,907,2445,7154
62331,0.356258597,2908,30280925.58,10,Orange Center,"4,463,150.51",320.07,"13,944.30",Elementary,ORANGE CENTER SCHOOL DISTRICT,6026,447,4039,1540,10412.97303,6026,447,1540,4039
62364,0.041016407,9996,238765470.5,10,Parlier Unified,"51,879,384.77","3,337.48","15,544.48",Unified,PARLIER UNIFIED SCH DIST,52965,6701,41998,4266,23886.10149,52965,6701,4266,41998
62380,0.232774674,3222,45312593.7,10,Raisin City Elementary,"4,293,700.97",280.25,"15,320.97",Elementary,RAISIN CITY ELEM SCH DIST,5116,678,3654,784,14063.49898,5116,678,784,3654
62414,0.016470847,27321,1241465050.0,10,Sanger Unified,"140,730,365.13","10,667.42","13,192.54",Unified,SANGER UNIF SCH DIST,185761,14125,135292,36344,45439.95643,185761,14125,36344,135292
62430,0.039244724,16206,408031236.1,10,Selma Unified,"86,864,958.58","5,966.42","14,558.97",Unified,SELMA UNIFIED SCH DIST,98247,9284,75551,13412,25177.78823,98247,9284,13412,75551
62539,0.176848875,2488,61704924.31,10,West Park Elementary,"4,551,117.32",349.65,"13,016.21",Elementary,WEST PARK ELEM SCH DIST,11048,627,9734,687,24801.01459,11048,627,687,9734
62547,0.234393176,20632,83175725.52,10,Westside Elementary,"3,599,552.95",182.79,"19,692.29",Elementary,WESTSIDE ELEM SCH DIST,4370,369,3030,971,4031.394219,4370,369,971,3030
62596,0.0,96,31857712.32,11,Lake Elementary,"1,868,157.31",178.35,"10,474.67",Elementary,LAKE COUNTY OFFICE OF EDUCATION,21287,3433,11928,5926,331851.17,21287,3433,5926,11928
62661,0.03929867,3308,84824462.83,11,Willows Unified,"15,263,556.20","1,369.90","11,142.10",Unified,WILLOWS UNIFIED SCH DIST,18478,1157,11983,5338,25642.21972,18478,1157,5338,11983
62687,0.019961977,11572,130616952.6,12,Northern Humboldt Union High,"21,776,577.55","1,427.58","15,254.19",High,NORTHERN HUMBOLDT UHSD,25482,1239,12749,11494,11287.32739,25482,1239,11494,12749
62810,0.068639053,8450,82292156.66,12,Fortuna Union High,"13,676,733.72","1,069.60","12,786.77",High,FORTUNA UNION HIGH SCHOOL DIST,17987,601,10852,6534,9738.716764,17987,601,6534,10852
62901,0.052673583,2506,92573488.34,12,Klamath-Trinity Joint Unified,"19,132,938.57",918.34,"20,834.26",Unified,KLAMATH TRINITY JT UNIFIED JT SCH DIST,26136,8539,11714,5883,36940.73757,26136,8539,5883,11714
63032,0.0,1040,83941486.5,12,South Bay Union Elementary,"4,815,411.01",378.71,"12,715.30",Elementary,SOUTH BAY UNION ELEM SCH DIST,7441,664,5161,1616,80712.96779,7441,664,1616,5161
63040,0.134831461,1246,64818369.18,12,Southern Humboldt Joint Unified,"9,354,220.77",719.63,"12,998.65",Unified,SOUTHERN TRINITY JT UNIF SCH DIST,2714,211,1560,943,52021.16307,2714,211,943,1560
63081,0.035470342,16690,154318635.1,13,Brawley Union High,"26,423,375.45","1,879.15","14,061.34",High,BRAWLEY UNION HIGH SCHOOL DIST,29677,1671,23237,4769,9246.17346,29677,1671,4769,23237
63099,0.125034051,29368,588340875.0,13,Calexico Unified,"121,236,560.36","8,543.89","14,189.86",Unified,CALEXICO UNIF SCH DIST,144090,13511,117167,13412,20033.39945,144090,13511,13412,117167
63107,0.103244838,2712,72649063.2,13,Calipatria Unified,"16,062,891.85","1,087.34","14,772.65",Unified,CALIPATRIA UNIFIED SCH DIST,20417,1578,11857,6982,26788.00265,20417,1578,6982,11857
