,Academic Year,CountyCode_x,DistrictCode_x,SchoolCode,CountyName_x,DistrictName_x,SchoolName_x,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status",SchoolName_y,DistrictCode_y,DistrictName_y,CountyCode_y,CountyName_y
0,2021-2022,1,10017,130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,,Y,0398,Directly funded,Y,9,12,150,113,0.7533333333333333,134,0.8933333333333333,129,95,0.7364341085271318,116,0.8992248062015504,Y,Alternatives in Action,61119,Alameda Unified,1,Alameda
1,2021-2022,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Y,1888,Locally funded,N,10,12,186,71,0.3817204301075269,71,0.3817204301075269,25,12,0.48,12,0.48,Y,Opportunity Academy,10017,Alameda County Office of Education,1,Alameda
2,2021-2022,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1808,311,0.1720132743362832,327,0.18086283185840707,1743,293,0.168100975329891,308,0.17670682730923695,Y,Alameda High,61119,Alameda Unified,1,Alameda
3,2021-2022,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,168,53,0.31547619047619047,53,0.31547619047619047,165,51,0.3090909090909091,51,0.3090909090909091,Y,Alameda Science and Technology Institute,61119,Alameda Unified,1,Alameda
4,2021-2022,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,72,44,0.6111111111111112,44,0.6111111111111112,45,28,0.6222222222222222,28,0.6222222222222222,Y,Island High (Continuation),61119,Alameda Unified,1,Alameda
5,2021-2022,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1187,207,0.17438921651221567,307,0.2586352148272957,1165,205,0.1759656652360515,304,0.2609442060085837,Y,Albany High,61127,Albany City Unified,1,Alameda
6,2021-2022,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,2,1,0.5,2,1.0,1,1,1.0,1,1.0,Y,MacGregor High (Continuation),61127,Albany City Unified,1,Alameda
7,2021-2022,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,3222,845,0.26225946617008067,935,0.29019242706393544,3147,813,0.2583412774070543,902,0.28662217985382904,Y,Berkeley High,61143,Berkeley Unified,1,Alameda
8,2021-2022,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,52,40,0.7692307692307693,41,0.7884615384615384,49,37,0.7551020408163265,38,0.7755102040816326,Y,Berkeley Technology Academy,61143,Berkeley Unified,1,Alameda
9,2021-2022,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2699,449,0.1663579103371619,491,0.18191922934420154,2663,440,0.16522718738265116,482,0.1809988734509951,Y,Castro Valley High,61150,Castro Valley Unified,1,Alameda
