,SchoolCode,Value,CohortStudents,Dropout (Count),Dropout Rate,Unnamed: 0,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
0,1933316,,648.0,172.0,0.2654320987654321,1933316,Puente Hills High,73445,Hacienda la Puente Unified,19,Los Angeles
1,114694,,1332.0,0.0,0.0,114694,High Tech High North County,76471,SBC - High Tech High,37,San Diego
2,1335306,,2340.0,64.0,0.02735042735042735,1335306,Holtville High,63149,Holtville Unified,13,Imperial
3,1933324,,6704.0,368.0,0.05489260143198091,1933324,Garey High,64907,Pomona Unified,19,Los Angeles
4,1237007,,608.0,80.0,0.13157894736842105,1237007,South Fork Junior - Senior High,63040,Southern Humboldt Joint Unified,12,Humboldt
5,4530192,,,,,4530192,Anderson Community Day,69856,Anderson Union High,45,Shasta
6,1933332,,1328.0,36.0,0.02710843373493976,1933332,Monterey High (Continuation),64337,Burbank Unified,19,Los Angeles
7,4530200,,2184.0,452.0,0.20695970695970695,4530200,Pioneer Continuation High,70136,Shasta Union High,45,Shasta
8,532507,,1768.0,0.0,0.0,532507,Bret Harte Union High,61556,Bret Harte Union High,5,Calaveras
9,114736,,9652.0,16.0,0.0016576875259013675,114736,Hector G. Godinez,66670,Santa Ana Unified,30,Orange
10,4530226,,,,,4530226,Soldier Mountain High (Continuation),69989,Fall River Joint Unified,45,Shasta
11,131128,,1864.0,16.0,0.008583690987124463,131128,Da Vinci Communications,76869,Wiseburn Unified,19,Los Angeles
12,1933373,,224.0,80.0,0.35714285714285715,1933373,Olympic High (Continuation),64980,Santa Monica-Malibu Unified,19,Los Angeles
13,1933381,,9564.0,348.0,0.03638644918444166,1933381,James A. Garfield Senior High,64733,Los Angeles Unified,19,Los Angeles
14,106567,,1576.0,40.0,0.025380710659898477,106567,Nova Academy Early College High,66670,Santa Ana Unified,30,Orange
15,4333639,,3416.0,332.0,0.09718969555035128,4333639,James Lick High,69427,East Side Union High,43,Santa Clara
16,5636170,,748.0,52.0,0.06951871657754011,5636170,Renaissance High,76828,Santa Paula Unified,56,Ventura
17,139345,2556371.67,,,,139345,We the People High,10199,Los Angeles County Office of Education,19,Los Angeles
18,1933399,,1872.0,44.0,0.023504273504273504,1933399,L.A. County High School for the Arts,10199,Los Angeles County Office of Education,19,Los Angeles
19,3334232,,7124.0,16.0,0.0022459292532285235,3334232,Norco High,67033,Corona-Norco Unified,33,Riverside
20,114777,,1932.0,768.0,0.39751552795031053,114777,Pathway Independent Study,64774,Lynwood Unified,19,Los Angeles
21,4530267,14050586.52,1252.0,44.0,0.03514376996805112,4530267,Shasta Charter Academy,70136,Shasta Union High,45,Shasta
22,5636188,,7080.0,148.0,0.020903954802259886,5636188,Simi Valley High,72603,Simi Valley Unified,56,Ventura
23,131177,,12188.0,1008.0,0.08270429931079751,131177,Berkeley High,61143,Berkeley Unified,1,Alameda
24,5030010,,5700.0,292.0,0.051228070175438595,5030010,Fred C. Beyer High,71175,Modesto City High,50,Stanislaus
25,3432572,,6144.0,180.0,0.029296875,3432572,Elk Grove High,67314,Elk Grove Unified,34,Sacramento
26,4530309,,1944.0,68.0,0.03497942386831276,4530309,North State Independence High,70136,Shasta Union High,45,Shasta
27,1933449,,3224.0,148.0,0.04590570719602978,1933449,Gladstone High,64279,Azusa Unified,19,Los Angeles
28,3932308,,3116.0,80.0,0.025673940949935817,3932308,Escalon High,68502,Escalon Unified,39,San Joaquin
29,5030036,,488.0,244.0,0.5,5030036,West Side Valley High (Continuation),73601,Newman-Crows Landing Unified,50,Stanislaus
30,3334299,,7592.0,376.0,0.04952581664910432,3334299,Norte Vista High,66977,Alvord Unified,33,Riverside
31,4530333,,400.0,0.0,0.0,4530333,Anderson New Technology High,69856,Anderson Union High,45,Shasta
32,2130078,,860.0,28.0,0.03255813953488372,2130078,Tamiscal High (Alternative),65482,Tamalpais Union High,21,Marin
33,1933472,,2228.0,212.0,0.09515260323159784,1933472,Daily (Allan F.) High (Continuation),64568,Glendale Unified,19,Los Angeles
34,114850,,5140.0,548.0,0.1066147859922179,114850,West Adams Preparatory High,64733,Los Angeles Unified,19,Los Angeles
35,131243,,,,,131243,Phoenix Rising High,63115,Central Union High,13,Imperial
36,114868,,1940.0,108.0,0.05567010309278351,114868,Oakland Charter High,61259,Oakland Unified,1,Alameda
37,139451,,440.0,84.0,0.19090909090909092,139451,Pathways Academy Charter - Adult Education,75416,Warner Unified,37,San Diego
38,5030085,,1072.0,588.0,0.5485074626865671,5030085,Stanislaus Military Academy at Teel,10504,Stanislaus County Office of Education,50,Stanislaus
39,3735750,,5664.0,132.0,0.023305084745762712,3735750,Point Loma High,68338,San Diego Unified,37,San Diego
40,1933530,,8852.0,204.0,0.023045639403524627,1933530,Glendale High,64568,Glendale Unified,19,Los Angeles
41,106716,,752.0,104.0,0.13829787234042554,106716,Hamilton High,67082,Hemet Unified,33,Riverside
42,3834082,,4508.0,584.0,0.129547471162378,3834082,Mission High,68478,San Francisco Unified,38,San Francisco
