,SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
1933316,1933316,Puente Hills High,73445,Hacienda la Puente Unified,19,Los Angeles
114694,114694,High Tech High North County,76471,SBC - High Tech High,37,San Diego
1335306,1335306,Holtville High,63149,Holtville Unified,13,Imperial
1933324,1933324,Garey High,64907,Pomona Unified,19,Los Angeles
1237007,1237007,South Fork Junior - Senior High,63040,Southern Humboldt Joint Unified,12,Humboldt
4530192,4530192,Anderson Community Day,69856,Anderson Union High,45,Shasta
1933332,1933332,Monterey High (Continuation),64337,Burbank Unified,19,Los Angeles
4530200,4530200,Pioneer Continuation High,70136,Shasta Union High,45,Shasta
532507,532507,Bret Harte Union High,61556,Bret Harte Union High,5,Calaveras
114736,114736,Hector G. Godinez,66670,Santa Ana Unified,30,Orange
4530226,4530226,Soldier Mountain High (Continuation),69989,Fall River Joint Unified,45,Shasta
131128,131128,Da Vinci Communications,76869,Wiseburn Unified,19,Los Angeles
1933373,1933373,Olympic High (Continuation),64980,Santa Monica-Malibu Unified,19,Los Angeles
1933381,1933381,James A. Garfield Senior High,64733,Los Angeles Unified,19,Los Angeles
106567,106567,Nova Academy Early College High,66670,Santa Ana Unified,30,Orange
4333639,4333639,James Lick High,69427,East Side Union High,43,Santa Clara
5636170,5636170,Renaissance High,76828,Santa Paula Unified,56,Ventura
139345,139345,We the People High,10199,Los Angeles County Office of Education,19,Los Angeles
1933399,1933399,L.A. County High School for the Arts,10199,Los Angeles County Office of Education,19,Los Angeles
3334232,3334232,Norco High,67033,Corona-Norco Unified,33,Riverside
114777,114777,Pathway Independent Study,64774,Lynwood Unified,19,Los Angeles
4530267,4530267,Shasta Charter Academy,70136,Shasta Union High,45,Shasta
5636188,5636188,Simi Valley High,72603,Simi Valley Unified,56,Ventura
131177,131177,Berkeley High,61143,Berkeley Unified,1,Alameda
5030010,5030010,Fred C. Beyer High,71175,Modesto City High,50,Stanislaus
3432572,3432572,Elk Grove High,67314,Elk Grove Unified,34,Sacramento
4530309,4530309,North State Independence High,70136,Shasta Union High,45,Shasta
1933449,1933449,Gladstone High,64279,Azusa Unified,19,Los Angeles
3932308,3932308,Escalon High,68502,Escalon Unified,39,San Joaquin
5030036,5030036,West Side Valley High (Continuation),73601,Newman-Crows Landing Unified,50,Stanislaus
3334299,3334299,Norte Vista High,66977,Alvord Unified,33,Riverside
4530333,4530333,Anderson New Technology High,69856,Anderson Union High,45,Shasta
2130078,2130078,Tamiscal High (Alternative),65482,Tamalpais Union High,21,Marin
1933472,1933472,Daily (Allan F.) High (Continuation),64568,Glendale Unified,19,Los Angeles
114850,114850,West Adams Preparatory High,64733,Los Angeles Unified,19,Los Angeles
131243,131243,Phoenix Rising High,63115,Central Union High,13,Imperial
114868,114868,Oakland Charter High,61259,Oakland Unified,1,Alameda
139451,139451,Pathways Academy Charter - Adult Education,75416,Warner Unified,37,San Diego
5030085,5030085,Stanislaus Military Academy at Teel,10504,Stanislaus County Office of Education,50,Stanislaus
3735750,3735750,Point Loma High,68338,San Diego Unified,37,San Diego
1933530,1933530,Glendale High,64568,Glendale Unified,19,Los Angeles
106716,106716,Hamilton High,67082,Hemet Unified,33,Riverside
3834082,3834082,Mission High,68478,San Francisco Unified,38,San Francisco
4333795,4333795,Abraham Lincoln High,69666,San Jose Unified,43,Santa Clara
106732,106732,High Tech High International,68338,San Diego Unified,37,San Diego
5030127,5030127,Del Puerto High,71217,Patterson Joint Unified,50,Stanislaus
5030135,5030135,Peter Johansen High,71175,Modesto City High,50,Stanislaus
123133,123133,Alliance Susan and Eric Smidt Technology High,64733,Los Angeles Unified,19,Los Angeles
123141,123141,Alliance Ted K. Tajima High,64733,Los Angeles Unified,19,Los Angeles
3334406,3334406,John W. North High,67215,Riverside Unified,33,Riverside
1933597,1933597,Glendora High,64576,Glendora Unified,19,Los Angeles
3735842,3735842,Abraxas Continuation High,68296,Poway Unified,37,San Diego
4030755,4030755,Atascadero High,68700,Atascadero Unified,40,San Luis Obispo
1737006,1737006,Upper Lake High,76976,Upper Lake Unified,17,Lake
5431598,5431598,Exeter Union High,76836,Exeter Unified,54,Tulare
2335024,2335024,Ukiah High,65615,Ukiah Unified,23,Mendocino
5030200,5030200,Argus High (Continuation),71043,Ceres Unified,50,Stanislaus
1032507,1032507,Fresno High,62166,Fresno Unified,10,Fresno
3735867,3735867,Poway High,68296,Poway Unified,37,San Diego
5431614,5431614,Kaweah High,76836,Exeter Unified,54,Tulare
4137279,4137279,South San Francisco High,69070,South San Francisco Unified,41,San Mateo
106831,106831,Animo Venice Charter High,64733,Los Angeles Unified,19,Los Angeles
1933647,1933647,John H. Glenn High,64840,Norwalk-La Mirada Unified,19,Los Angeles
3637584,3637584,Upland High,75069,Upland Unified,36,San Bernardino
737619,737619,Willow High,61697,John Swett Unified,7,Contra Costa
5030234,5030234,Valley Charter High,10504,Stanislaus County Office of Education,50,Stanislaus
106849,106849,Animo Pat Brown,64733,Los Angeles Unified,19,Los Angeles
5030259,5030259,Waterford High,75572,Waterford Unified,50,Stanislaus
2630010,2630010,Mammoth High,73692,Mammoth Unified,26,Mono
4333951,4333951,Live Oak High,69583,Morgan Hill Unified,43,Santa Clara
1532290,1532290,East Bakersfield High,63529,Kern High,15,Kern
5030283,5030283,John H. Pitman High,75739,Turlock Unified,50,Stanislaus
2630036,2630036,Sierra High (Continuation),73692,Mammoth Unified,26,Mono
3735958,3735958,Montecito High (Continuation),68304,Ramona City Unified,37,San Diego
3637659,3637659,Valley View High (Continuation),67652,Chaffey Joint Union High,36,San Bernardino
5235106,5235106,Los Molinos High,71571,Los Molinos Unified,52,Tehama
5530019,5530019,Dario Cassina High,72389,Sonora Union High,55,Tuolumne
3735974,3735974,Ramona High,68304,Ramona City Unified,37,San Diego
139691,139691,Matilda Torres High,65243,Madera Unified,20,Madera
4735403,4735403,Mt. Shasta High,70466,Siskiyou Union High,47,Siskiyou
5530043,5530043,Theodore Bird High,72389,Sonora Union High,55,Tuolumne
5530050,5530050,Long Barn High,72413,Summerville Union High,55,Tuolumne
3432903,3432903,Estrellita Continuation High,67355,Galt Joint Union High,34,Sacramento
4235727,4235727,Santa Barbara Senior High,76786,Santa Barbara Unified,42,Santa Barbara
4432340,4432340,Harbor High,69823,Santa Cruz City High,44,Santa Cruz
631259,631259,Colusa High,61598,Colusa Unified,6,Colusa
5530076,5530076,Tioga High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne
1933795,1933795,Ulysses S. Grant Senior High,64733,Los Angeles Unified,19,Los Angeles
5530084,5530084,Don Pedro High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne
5530092,5530092,South Fork High,72413,Summerville Union High,55,Tuolumne
5530100,5530100,Cold Springs High,72413,Summerville Union High,55,Tuolumne
106997,106997,Orthopaedic Hospital,64733,Los Angeles Unified,19,Los Angeles
107003,107003,Northridge Academy High,64733,Los Angeles Unified,19,Los Angeles
3990025,3990025,N.A. Chaderjian High,32276,California Education Authority (CEA) Headquarters,34,Sacramento
737809,737809,Ygnacio Valley High,61754,Mt. Diablo Unified,7,Contra Costa
107029,107029,San Diego International Studies,68338,San Diego Unified,37,San Diego
1933852,1933852,Alexander Hamilton Senior High,64733,Los Angeles Unified,19,Los Angeles
3334687,3334687,Nueva Vista Continuation High,67090,Jurupa Unified,33,Riverside
4334116,4334116,Los Altos High,69609,Mountain View-Los Altos Union High,43,Santa Clara
115238,115238,ARISE High,61259,Oakland Unified,1,Alameda
139816,139816,Griffin Academy High,70581,Vallejo City Unified,48,Solano
107052,107052,San Diego Business/Leadership,68338,San Diego Unified,37,San Diego
115253,115253,Discovery Charter Preparatory #2,64733,Los Angeles Unified,19,Los Angeles
4137535,4137535,Terra Nova High,68924,Jefferson Union High,41,San Mateo
139840,139840,West Park High,66928,Roseville Joint Union High,31,Placer
5530175,5530175,Mountain High,72413,Summerville Union High,55,Tuolumne
2433605,2433605,Livingston High,65789,Merced Union High,24,Merced
107078,107078,Kearny Digital Media & Design,68338,San Diego Unified,37,San Diego
4530762,4530762,North Valley High,69856,Anderson Union High,45,Shasta
1933902,1933902,William S. Hart High,65136,William S. Hart Union High,19,Los Angeles
107086,107086,Kearny School of Biomedical Science and Technology,68338,San Diego Unified,37,San Diego
107094,107094,Kearny College Connections,68338,San Diego Unified,37,San Diego
1335900,1335900,Imperial High,63164,Imperial Unified,13,Imperial
107102,107102,Kearny Eng Innov & Design,68338,San Diego Unified,37,San Diego
107110,107110,Six Rivers Charter High,62687,Northern Humboldt Union High,12,Humboldt
836205,836205,Sunset High,61820,Del Norte County Unified,8,Del Norte
131698,131698,Rancho Campana High,72546,Oxnard Union High,56,Ventura
434803,434803,Las Plumas High,61515,Oroville Union High,4,Butte
