SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,Latitude,Longitude
1933316,Puente Hills High,73445,Hacienda la Puente Unified,19,Los Angeles,34.01078,-117.97194
114694,High Tech High North County,76471,SBC - High Tech High,37,San Diego,33.13237,-117.20218
1335306,Holtville High,63149,Holtville Unified,13,Imperial,32.81525,-115.38568
1933324,Garey High,64907,Pomona Unified,19,Los Angeles,34.03746,-117.75251
1237007,South Fork Junior - Senior High,63040,Southern Humboldt Joint Unified,12,Humboldt,40.23693,-123.82298
4530192,Anderson Community Day,69856,Anderson Union High,45,Shasta,40.44007,-122.30705
1933332,Monterey High (Continuation),64337,Burbank Unified,19,Los Angeles,34.18656,-118.33191
4530200,Pioneer Continuation High,70136,Shasta Union High,45,Shasta,40.590167,-122.41226
532507,Bret Harte Union High,61556,Bret Harte Union High,5,Calaveras,38.07903,-120.55246
114736,Hector G. Godinez,66670,Santa Ana Unified,30,Orange,33.72366,-117.90979
4530226,Soldier Mountain High (Continuation),69989,Fall River Joint Unified,45,Shasta,41.0522,-121.40195
131128,Da Vinci Communications,76869,Wiseburn Unified,19,Los Angeles,33.91797,-118.38426
1933373,Olympic High (Continuation),64980,Santa Monica-Malibu Unified,19,Los Angeles,34.00625,-118.4779
1933381,James A. Garfield Senior High,64733,Los Angeles Unified,19,Los Angeles,34.02591,-118.15713
106567,Nova Academy Early College High,66670,Santa Ana Unified,30,Orange,33.74756,-117.8728
4333639,James Lick High,69427,East Side Union High,43,Santa Clara,37.36737,-121.83059
5636170,Renaissance High,76828,Santa Paula Unified,56,Ventura,34.35452,-119.07347
139345,We the People High,10199,Los Angeles County Office of Education,19,Los Angeles,,
1933399,L.A. County High School for the Arts,10199,Los Angeles County Office of Education,19,Los Angeles,34.069364,-118.16718
3334232,Norco High,67033,Corona-Norco Unified,33,Riverside,33.91216,-117.54698
114777,Pathway Independent Study,64774,Lynwood Unified,19,Los Angeles,33.92151,-118.1802
4530267,Shasta Charter Academy,70136,Shasta Union High,45,Shasta,40.57627,-122.37267
5636188,Simi Valley High,72603,Simi Valley Unified,56,Ventura,34.27708,-118.68496
131177,Berkeley High,61143,Berkeley Unified,1,Alameda,37.86845,-122.27155
5030010,Fred C. Beyer High,71175,Modesto City High,50,Stanislaus,37.6898,-120.9662
3432572,Elk Grove High,67314,Elk Grove Unified,34,Sacramento,38.40107,-121.37278
4530309,North State Independence High,70136,Shasta Union High,45,Shasta,40.58738,-122.40456
1933449,Gladstone High,64279,Azusa Unified,19,Los Angeles,34.10456,-117.91349
3932308,Escalon High,68502,Escalon Unified,39,San Joaquin,37.7994,-120.99366
5030036,West Side Valley High (Continuation),73601,Newman-Crows Landing Unified,50,Stanislaus,37.32065,-121.02411
3334299,Norte Vista High,66977,Alvord Unified,33,Riverside,33.95033,-117.4732
4530333,Anderson New Technology High,69856,Anderson Union High,45,Shasta,40.45223,-122.30044
2130078,Tamiscal High (Alternative),65482,Tamalpais Union High,21,Marin,37.93777,-122.52984
1933472,Daily (Allan F.) High (Continuation),64568,Glendale Unified,19,Los Angeles,34.14893,-118.25115
114850,West Adams Preparatory High,64733,Los Angeles Unified,19,Los Angeles,34.03966,-118.2897
131243,Phoenix Rising High,63115,Central Union High,13,Imperial,32.781027,-115.54943
114868,Oakland Charter High,61259,Oakland Unified,1,Alameda,37.78589,-122.21962
139451,Pathways Academy Charter - Adult Education,75416,Warner Unified,37,San Diego,33.14169,-117.16213
5030085,Stanislaus Military Academy at Teel,10504,Stanislaus County Office of Education,50,Stanislaus,37.640154,-120.898247
3735750,Point Loma High,68338,San Diego Unified,37,San Diego,32.74026,-117.22514
1933530,Glendale High,64568,Glendale Unified,19,Los Angeles,34.14568,-118.23203
106716,Hamilton High,67082,Hemet Unified,33,Riverside,33.57071,-116.66064
3834082,Mission High,68478,San Francisco Unified,38,San Francisco,37.76158,-122.42736
4333795,Abraham Lincoln High,69666,San Jose Unified,43,Santa Clara,37.32817,-121.92422
106732,High Tech High International,68338,San Diego Unified,37,San Diego,32.73318,-117.2191
5030127,Del Puerto High,71217,Patterson Joint Unified,50,Stanislaus,37.47557,-121.14034
5030135,Peter Johansen High,71175,Modesto City High,50,Stanislaus,37.6482,-120.91918
123133,Alliance Susan and Eric Smidt Technology High,64733,Los Angeles Unified,19,Los Angeles,34.07217,-118.22046
123141,Alliance Ted K. Tajima High,64733,Los Angeles Unified,19,Los Angeles,34.06351,-118.26156
3334406,John W. North High,67215,Riverside Unified,33,Riverside,33.9821,-117.34611
1933597,Glendora High,64576,Glendora Unified,19,Los Angeles,34.13416,-117.83609
3735842,Abraxas Continuation High,68296,Poway Unified,37,San Diego,32.97425,-117.06093
4030755,Atascadero High,68700,Atascadero Unified,40,San Luis Obispo,35.4832,-120.67205
1737006,Upper Lake High,76976,Upper Lake Unified,17,Lake,39.165055,-122.90228
5431598,Exeter Union High,76836,Exeter Unified,54,Tulare,36.29777,-119.13499
2335024,Ukiah High,65615,Ukiah Unified,23,Mendocino,39.16441,-123.22463
5030200,Argus High (Continuation),71043,Ceres Unified,50,Stanislaus,37.59042,-120.9482
1032507,Fresno High,62166,Fresno Unified,10,Fresno,36.76721,-119.80538
3735867,Poway High,68296,Poway Unified,37,San Diego,32.99905,-117.02545
5431614,Kaweah High,76836,Exeter Unified,54,Tulare,36.297422,-119.128855
4137279,South San Francisco High,69070,South San Francisco Unified,41,San Mateo,37.64774,-122.42706
106831,Animo Venice Charter High,64733,Los Angeles Unified,19,Los Angeles,33.996524,-118.46298
1933647,John H. Glenn High,64840,Norwalk-La Mirada Unified,19,Los Angeles,33.90868,-118.05433
3637584,Upland High,75069,Upland Unified,36,San Bernardino,34.1045,-117.65807
737619,Willow High,61697,John Swett Unified,7,Contra Costa,38.04627,-122.22044
5030234,Valley Charter High,10504,Stanislaus County Office of Education,50,Stanislaus,37.64766,-121.01087
106849,Animo Pat Brown,64733,Los Angeles Unified,19,Los Angeles,33.96301,-118.24262
5030259,Waterford High,75572,Waterford Unified,50,Stanislaus,37.63684,-120.77487
2630010,Mammoth High,73692,Mammoth Unified,26,Mono,37.64165,-118.9632
4333951,Live Oak High,69583,Morgan Hill Unified,43,Santa Clara,37.14802,-121.63527
1532290,East Bakersfield High,63529,Kern High,15,Kern,35.38023,-118.96563
5030283,John H. Pitman High,75739,Turlock Unified,50,Stanislaus,37.52982,-120.87875
2630036,Sierra High (Continuation),73692,Mammoth Unified,26,Mono,37.63853,-118.96275
3735958,Montecito High (Continuation),68304,Ramona City Unified,37,San Diego,33.03917,-116.86353
3637659,Valley View High (Continuation),67652,Chaffey Joint Union High,36,San Bernardino,34.08541,-117.61449
5235106,Los Molinos High,71571,Los Molinos Unified,52,Tehama,40.02548,-122.0941
5530019,Dario Cassina High,72389,Sonora Union High,55,Tuolumne,37.98181,-120.37961
3735974,Ramona High,68304,Ramona City Unified,37,San Diego,33.02692,-116.86914
139691,Matilda Torres High,65243,Madera Unified,20,Madera,,
4735403,Mt. Shasta High,70466,Siskiyou Union High,47,Siskiyou,41.3217,-122.30542
5530043,Theodore Bird High,72389,Sonora Union High,55,Tuolumne,37.98261,-120.37958
5530050,Long Barn High,72413,Summerville Union High,55,Tuolumne,38.09152,-120.13798
3432903,Estrellita Continuation High,67355,Galt Joint Union High,34,Sacramento,38.28729,-121.27529
4235727,Santa Barbara Senior High,76786,Santa Barbara Unified,42,Santa Barbara,34.42947,-119.69421
4432340,Harbor High,69823,Santa Cruz City High,44,Santa Cruz,36.98604,-121.99283
631259,Colusa High,61598,Colusa Unified,6,Colusa,39.20021,-122.01951
5530076,Tioga High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne,37.86333,-120.22714
1933795,Ulysses S. Grant Senior High,64733,Los Angeles Unified,19,Los Angeles,34.1778,-118.41533
5530084,Don Pedro High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne,37.68102,-120.32309
5530092,South Fork High,72413,Summerville Union High,55,Tuolumne,38.08812,-120.19667
5530100,Cold Springs High,72413,Summerville Union High,55,Tuolumne,38.09152,-120.13798
106997,Orthopaedic Hospital,64733,Los Angeles Unified,19,Los Angeles,34.02891,-118.27116
107003,Northridge Academy High,64733,Los Angeles Unified,19,Los Angeles,34.24541,-118.52442
3990025,N.A. Chaderjian High,32276,California Education Authority (CEA) Headquarters,34,Sacramento,37.88959,-121.20012
737809,Ygnacio Valley High,61754,Mt. Diablo Unified,7,Contra Costa,37.934155,-122.02679
107029,San Diego International Studies,68338,San Diego Unified,37,San Diego,32.72013,-117.15316
1933852,Alexander Hamilton Senior High,64733,Los Angeles Unified,19,Los Angeles,34.03413,-118.39058
3334687,Nueva Vista Continuation High,67090,Jurupa Unified,33,Riverside,34.01653,-117.42943
4334116,Los Altos High,69609,Mountain View-Los Altos Union High,43,Santa Clara,37.38621,-122.1085
115238,ARISE High,61259,Oakland Unified,1,Alameda,37.7761,-122.2251
139816,Griffin Academy High,70581,Vallejo City Unified,48,Solano,,
107052,San Diego Business/Leadership,68338,San Diego Unified,37,San Diego,32.72015,-117.15317
115253,Discovery Charter Preparatory #2,64733,Los Angeles Unified,19,Los Angeles,34.31907,-118.42517
4137535,Terra Nova High,68924,Jefferson Union High,41,San Mateo,37.59521,-122.47551
139840,West Park High,66928,Roseville Joint Union High,31,Placer,,
5530175,Mountain High,72413,Summerville Union High,55,Tuolumne,38.18265,-120.00746
2433605,Livingston High,65789,Merced Union High,24,Merced,37.37636,-120.72271
107078,Kearny Digital Media & Design,68338,San Diego Unified,37,San Diego,32.80038,-117.16033
4530762,North Valley High,69856,Anderson Union High,45,Shasta,40.44028,-122.30694
1933902,William S. Hart High,65136,William S. Hart Union High,19,Los Angeles,34.38423,-118.53766
107086,Kearny School of Biomedical Science and Technology,68338,San Diego Unified,37,San Diego,32.80038,-117.16033
107094,Kearny College Connections,68338,San Diego Unified,37,San Diego,32.80038,-117.16033
1335900,Imperial High,63164,Imperial Unified,13,Imperial,32.84864,-115.5767
107102,Kearny Eng Innov & Design,68338,San Diego Unified,37,San Diego,32.80038,-117.16033
107110,Six Rivers Charter High,62687,Northern Humboldt Union High,12,Humboldt,40.87642,-124.08907
836205,Sunset High,61820,Del Norte County Unified,8,Del Norte,41.80984,-124.15359
131698,Rancho Campana High,72546,Oxnard Union High,56,Ventura,34.2448800000001,-119.0136
434803,Las Plumas High,61515,Oroville Union High,4,Butte,39.47987,-121.53764
4530804,Anderson High,69856,Anderson Union High,45,Shasta,40.44399,-122.30444
4137592,Thornton High,68924,Jefferson Union High,41,San Mateo,37.69122,-122.46362
1933951,Hawthorne High,64352,Centinela Valley Union High,19,Los Angeles,33.91733,-118.36307
107136,Whitmore Charter High,71043,Ceres Unified,50,Stanislaus,37.58436,-120.93377
139915,KIPP Esperanza High,69062,Sequoia Union High,41,San Mateo,,
107151,"Escuela Popular/Center for Training and Careers, Family Learning",69427,East Side Union High,43,Santa Clara,37.36973,-121.83203
934554,Independence Continuation,61853,El Dorado Union High,9,El Dorado,38.69366,-120.82187
3130010,North Tahoe High,66944,Tahoe-Truckee Unified,31,Placer,39.19513,-120.12048
107177,Crawford High,68338,San Diego Unified,37,San Diego,32.7525,-117.07653
3130036,Phoenix High (Continuation),66951,Western Placer Unified,31,Placer,38.89658,-121.29777
115386,Civicorps Corpsmember Academy,61259,Oakland Unified,1,Alameda,37.79888,-122.28573
1532605,Foothill High,63529,Kern High,15,Kern,35.36553,-118.91653
115402,Edward C. Merlo Institute of Environmental Studies,68676,Stockton Unified,39,San Joaquin,37.93518,-121.26313
1032911,Herbert Hoover High,62166,Fresno Unified,10,Fresno,36.81806,-119.77024
1934033,Hollywood Senior High,64733,Los Angeles Unified,19,Los Angeles,34.09908,-118.34022
107219,San Diego Science and Technology,68338,San Diego Unified,37,San Diego,32.72013,-117.15316
3130077,Sierra High (Continuation),66944,Tahoe-Truckee Unified,31,Placer,39.32375,-120.21268
123620,Mountain Vista High,65243,Madera Unified,20,Madera,36.97268,-120.03837
2032357,Chowchilla Union High,65201,Chowchilla Union High,20,Madera,37.11474,-120.26226
1630953,Avenal High,73932,Reef-Sunset Unified,16,Kings,36.00954,-120.12969
131821,Collegiate Charter High School of Los Angeles,64733,Los Angeles Unified,19,Los Angeles,34.03964,-118.18191
5735154,River City High,72694,Washington Unified,57,Yolo,38.54519,-121.54033
115444,Canyon Ridge High,75044,Hesperia Unified,36,San Bernardino,34.41283,-117.3827
115451,Major General Raymond Murray High,68452,Vista Unified,37,San Diego,33.19895,-117.25482
3638012,Victor Valley High,67934,Victor Valley Union High,36,San Bernardino,34.53018,-117.3039
4236030,Santa Maria High,69310,Santa Maria Joint Union High,42,Santa Barbara,34.94195,-120.43739
2335487,Willits High,65623,Willits Unified,23,Mendocino,39.41733,-123.35405
3433216,Folsom High,67330,Folsom-Cordova Unified,34,Sacramento,38.64856,-121.15604
1934082,Herbert Hoover High,64568,Glendale Unified,19,Los Angeles,34.16627,-118.27008
3130119,Independence High (Alternative),66928,Roseville Joint Union High,31,Placer,38.75918,-121.27445
4334371,Los Gatos High,69534,Los Gatos-Saratoga Union High,43,Santa Clara,37.22332,-121.97608
107300,City Arts and Tech High,68478,San Francisco Unified,38,San Francisco,37.71948,-122.42532
3130150,Rocklin High,75085,Rocklin Unified,31,Placer,38.81428,-121.25108
3433265,Foothill High,76505,Twin Rivers Unified,34,Sacramento,38.67979,-121.34855
4137790,Westmoor High,68924,Jefferson Union High,41,San Mateo,37.68322,-122.48327
3130176,Woodcreek High,66928,Roseville Joint Union High,31,Placer,38.76331,-121.33339
3130184,Granite Bay High,66928,Roseville Joint Union High,31,Placer,38.73216,-121.21219
1934157,Huntington Park Senior High,64733,Los Angeles Unified,19,Los Angeles,33.98764,-118.21808
4334421,Lynbrook High,69468,Fremont Union High,43,Santa Clara,37.30084,-122.0038
3031895,Edison High,66548,Huntington Beach Union High,30,Orange,33.65181,-117.96857
3130200,Victory High,75085,Rocklin Unified,31,Placer,38.81584,-121.25492
