DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,CountyMedianIncome,MedianIncome
61119,Alameda,Alameda Unified,3202,29.3,59976,"113,339"
61127,Alameda,Albany City Unified,608,17.4,59976,"113,602"
61143,Alameda,Berkeley Unified,2563,27.2,59976,"97,834"
61150,Alameda,Castro Valley Unified,2067,22.5,59976,"132,185"
61168,Alameda,Emery Unified,561,80.4,59976,"109,960"
61176,Alameda,Fremont Unified,6965,19.8,59976,"153,475"
61192,Alameda,Hayward Unified,13685,63.2,59976,"98,379"
61200,Alameda,Livermore Valley Joint Unified,3280,24.7,59976,"140,363"
61218,Alameda,Mountain House Elementary,12,75,59976,"68,750"
61234,Alameda,Newark Unified,3025,54.9,59976,"144,011"
61242,Alameda,New Haven Unified,4474,41.4,59976,"127,282"
61259,Alameda,Oakland Unified,35727,73.4,59976,"85,495"
61275,Alameda,Piedmont City Unified,58,2.4,59976,"250,001"
61291,Alameda,San Leandro Unified,5575,63.2,59976,"92,097"
61309,Alameda,San Lorenzo Unified,6661,63.3,59976,"84,402"
75093,Alameda,Dublin Unified,924,7.3,59976,"171,168"
75101,Alameda,Pleasanton Unified,1265,8.7,59976,"168,042"
75119,Alameda,Sunol Glen Unified,27,9.9,59976,"173,750"
61333,Alpine,Alpine County Unified,45,61.6,31360,"96,000"
73981,Amador,Amador County Unified,1674,43,44261,"69,955"
61382,Butte,Bangor Union Elementary,84,78.5,34586,"65,313"
61408,Butte,Biggs Unified,370,65.7,34586,"79,505"
61424,Butte,Chico Unified,6853,49.3,34586,"64,848"
61432,Butte,Durham Unified,450,45.4,34586,"84,201"
61457,Butte,Golden Feather Union Elementary,53,85.5,34586,"60,288"
61499,Butte,Manzanita Elementary,125,45.3,34586,"76,563"
61507,Butte,Oroville City Elementary,1907,75.3,34586,"51,455"
61515,Butte,Oroville Union High,1717,73.6,34586,"48,433"
61523,Butte,Palermo Union Elementary,1004,78.6,34586,"44,074"
61531,Butte,Paradise Unified,1370,65.2,34586,"52,317"
61549,Butte,Thermalito Union Elementary,1311,87,34586,"39,867"
73379,Butte,Pioneer Union Elementary,52,100,34586,"39,732"
75507,Butte,Gridley Unified,1644,79,34586,"76,563"
61556,Calaveras,Bret Harte Union High,223,35.7,41045,"71,635"
61564,Calaveras,Calaveras Unified,1371,51.1,41045,"69,169"
61572,Calaveras,Mark Twain Union Elementary,403,58.4,41045,"76,500"
61580,Calaveras,Vallecito Union,254,46.7,41045,"64,275"
61598,Colusa,Colusa Unified,983,64.3,39089,"56,671"
61606,Colusa,Maxwell Unified,244,75.1,39089,"47,500"
61614,Colusa,Pierce Joint Unified,954,66.1,39089,"50,341"
61622,Colusa,Williams Unified,1195,89.3,39089,"77,813"
61630,Contra Costa,Acalanes Union High,382,6.9,54897,"143,534"
61648,Contra Costa,Antioch Unified,11570,69.7,54897,"82,833"
61655,Contra Costa,Brentwood Union Elementary,2216,24.6,54897,"124,837"
61663,Contra Costa,Byron Union Elementary,730,33.3,54897,"134,096"
61671,Contra Costa,Canyon Elementary,7,9.7,54897,"122,917"
61697,Contra Costa,John Swett Unified,786,59.9,54897,"86,066"
61705,Contra Costa,Knightsen Elementary,162,26.6,54897,"131,855"
61713,Contra Costa,Lafayette Elementary,111,3.4,54897,"193,102"
61721,Contra Costa,Liberty Union High,2271,27.6,54897,"121,803"
61739,Contra Costa,Martinez Unified,1019,25.6,54897,"113,257"
61747,Contra Costa,Moraga Elementary,62,3.5,54897,"167,500"
61754,Contra Costa,Mt. Diablo Unified,12402,41.5,54897,"109,195"
61762,Contra Costa,Oakley Union Elementary,2136,43.2,54897,"110,542"
61770,Contra Costa,Orinda Union Elementary,58,2.3,54897,"250,001"
61788,Contra Costa,Pittsburg Unified,8510,77.3,54897,"78,699"
61796,Contra Costa,West Contra Costa Unified,21264,68.5,54897,"89,352"
61804,Contra Costa,San Ramon Valley Unified,1728,5.6,54897,"185,263"
61812,Contra Costa,Walnut Creek Elementary,430,12.4,54897,"112,795"
61820,Del Norte,Del Norte County Unified,2523,66.1,33632,"53,280"
61838,El Dorado,Buckeye Union Elementary,2008,23.6,51785,"114,800"
61846,El Dorado,Camino Union Elementary,184,43.3,51785,"80,972"
