DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,MedianIncome
61119,Alameda,Alameda Unified,3202,29.3,59976
61127,Alameda,Albany City Unified,608,17.4,59976
61143,Alameda,Berkeley Unified,2563,27.2,59976
61150,Alameda,Castro Valley Unified,2067,22.5,59976
61168,Alameda,Emery Unified,561,80.4,59976
61176,Alameda,Fremont Unified,6965,19.8,59976
61192,Alameda,Hayward Unified,13685,63.2,59976
61200,Alameda,Livermore Valley Joint Unified,3280,24.7,59976
61218,Alameda,Mountain House Elementary,12,75.0,59976
61234,Alameda,Newark Unified,3025,54.9,59976
61242,Alameda,New Haven Unified,4474,41.4,59976
61259,Alameda,Oakland Unified,35727,73.4,59976
61275,Alameda,Piedmont City Unified,58,2.4,59976
61291,Alameda,San Leandro Unified,5575,63.2,59976
61309,Alameda,San Lorenzo Unified,6661,63.3,59976
75093,Alameda,Dublin Unified,924,7.3,59976
75101,Alameda,Pleasanton Unified,1265,8.7,59976
75119,Alameda,Sunol Glen Unified,27,9.9,59976
61333,Alpine,Alpine County Unified,45,61.6,31360
73981,Amador,Amador County Unified,1674,43.0,44261
61382,Butte,Bangor Union Elementary,84,78.5,34586
61408,Butte,Biggs Unified,370,65.7,34586
61424,Butte,Chico Unified,6853,49.3,34586
61432,Butte,Durham Unified,450,45.4,34586
61457,Butte,Golden Feather Union Elementary,53,85.5,34586
61499,Butte,Manzanita Elementary,125,45.3,34586
61507,Butte,Oroville City Elementary,1907,75.3,34586
61515,Butte,Oroville Union High,1717,73.6,34586
61523,Butte,Palermo Union Elementary,1004,78.6,34586
61531,Butte,Paradise Unified,1370,65.2,34586
61549,Butte,Thermalito Union Elementary,1311,87.0,34586
73379,Butte,Pioneer Union Elementary,52,100.0,34586
75507,Butte,Gridley Unified,1644,79.0,34586
61556,Calaveras,Bret Harte Union High,223,35.7,41045
61564,Calaveras,Calaveras Unified,1371,51.1,41045
61572,Calaveras,Mark Twain Union Elementary,403,58.4,41045
61580,Calaveras,Vallecito Union,254,46.7,41045
61598,Colusa,Colusa Unified,983,64.3,39089
61606,Colusa,Maxwell Unified,244,75.1,39089
61614,Colusa,Pierce Joint Unified,954,66.1,39089
61622,Colusa,Williams Unified,1195,89.3,39089
61630,Contra Costa,Acalanes Union High,382,6.9,54897
61648,Contra Costa,Antioch Unified,11570,69.7,54897
61655,Contra Costa,Brentwood Union Elementary,2216,24.6,54897
61663,Contra Costa,Byron Union Elementary,730,33.3,54897
61671,Contra Costa,Canyon Elementary,7,9.7,54897
61697,Contra Costa,John Swett Unified,786,59.9,54897
61705,Contra Costa,Knightsen Elementary,162,26.6,54897
61713,Contra Costa,Lafayette Elementary,111,3.4,54897
61721,Contra Costa,Liberty Union High,2271,27.6,54897
61739,Contra Costa,Martinez Unified,1019,25.6,54897
61747,Contra Costa,Moraga Elementary,62,3.5,54897
61754,Contra Costa,Mt. Diablo Unified,12402,41.5,54897
61762,Contra Costa,Oakley Union Elementary,2136,43.2,54897
61770,Contra Costa,Orinda Union Elementary,58,2.3,54897
61788,Contra Costa,Pittsburg Unified,8510,77.3,54897
61796,Contra Costa,West Contra Costa Unified,21264,68.5,54897
61804,Contra Costa,San Ramon Valley Unified,1728,5.6,54897
61812,Contra Costa,Walnut Creek Elementary,430,12.4,54897
61820,Del Norte,Del Norte County Unified,2523,66.1,33632
61838,El Dorado,Buckeye Union Elementary,2008,23.6,51785
61846,El Dorado,Camino Union Elementary,184,43.3,51785
61853,El Dorado,El Dorado Union High,1621,23.7,51785
61879,El Dorado,Gold Oak Union Elementary,149,35.6,51785
61887,El Dorado,Gold Trail Union Elementary,152,25.6,51785
61895,El Dorado,Indian Diggings Elementary,8,57.1,51785
61903,El Dorado,Lake Tahoe Unified,1989,53.4,51785
61911,El Dorado,Latrobe,16,10.8,51785
61929,El Dorado,Mother Lode Union Elementary,441,47.2,51785
61945,El Dorado,Pioneer Union Elementary,135,48.0,51785
61952,El Dorado,Placerville Union Elementary,680,55.9,51785
61960,El Dorado,Pollock Pines Elementary,273,46.7,51785
